Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
CHa_47_T0_B_TWS042_10_LPART15_1	(12.0, 46.0)	(13.0, 1041.0)	(14.0, 7378.0)	(15.0, 17161.0)	(16.0, 20483.0)	(17.0, 24135.0)	(18.0, 36793.0)	(19.0, 56544.0)	(20.0, 81293.0)	(21.0, 103718.0)	(22.0, 127142.0)	(23.0, 154051.0)	(24.0, 180632.0)	(25.0, 220855.0)	(26.0, 266920.0)	(27.0, 317552.0)	(28.0, 393323.0)	(29.0, 459887.0)	(30.0, 584022.0)	(31.0, 709199.0)	(32.0, 968703.0)	(33.0, 1390449.0)	(34.0, 2030250.0)	(35.0, 3061750.0)	(36.0, 5002052.0)	(37.0, 10874558.0)	(38.0, 31267250.0)	(39.0, 219237462.0)	(40.0, 44130890.0)								
CHa_47_T0_B_TWS042_10_LPART15_2	(9.0, 4.0)	(10.0, 421.0)	(11.0, 5474.0)	(12.0, 30718.0)	(13.0, 110962.0)	(14.0, 254562.0)	(15.0, 334748.0)	(16.0, 326029.0)	(17.0, 294901.0)	(18.0, 278674.0)	(19.0, 285549.0)	(20.0, 308769.0)	(21.0, 333340.0)	(22.0, 365610.0)	(23.0, 402363.0)	(24.0, 439111.0)	(25.0, 494198.0)	(26.0, 544891.0)	(27.0, 613368.0)	(28.0, 701067.0)	(29.0, 791268.0)	(30.0, 959416.0)	(31.0, 1112071.0)	(32.0, 1437626.0)	(33.0, 1805727.0)	(34.0, 2524297.0)	(35.0, 3763468.0)	(36.0, 6259541.0)	(37.0, 13216129.0)	(38.0, 35516806.0)	(39.0, 203700232.0)	(40.0, 44514199.0)					
CHa_47_T0_B_TWS042_10_LPART16_1	(12.0, 33.0)	(13.0, 901.0)	(14.0, 7002.0)	(15.0, 18781.0)	(16.0, 22711.0)	(17.0, 23958.0)	(18.0, 33005.0)	(19.0, 48325.0)	(20.0, 65996.0)	(21.0, 84109.0)	(22.0, 104717.0)	(23.0, 129793.0)	(24.0, 153047.0)	(25.0, 185408.0)	(26.0, 218812.0)	(27.0, 252464.0)	(28.0, 299874.0)	(29.0, 340359.0)	(30.0, 405827.0)	(31.0, 476146.0)	(32.0, 592996.0)	(33.0, 824670.0)	(34.0, 1160263.0)	(35.0, 1688538.0)	(36.0, 2426667.0)	(37.0, 4531039.0)	(38.0, 10164728.0)	(39.0, 105730474.0)	(40.0, 70242374.0)								
CHa_47_T0_B_TWS042_10_LPART16_2	(9.0, 6.0)	(10.0, 340.0)	(11.0, 2574.0)	(12.0, 9970.0)	(13.0, 33900.0)	(14.0, 93010.0)	(15.0, 135248.0)	(16.0, 130429.0)	(17.0, 111946.0)	(18.0, 106360.0)	(19.0, 113422.0)	(20.0, 127767.0)	(21.0, 143460.0)	(22.0, 162825.0)	(23.0, 183715.0)	(24.0, 200601.0)	(25.0, 224545.0)	(26.0, 246044.0)	(27.0, 272365.0)	(28.0, 306435.0)	(29.0, 344603.0)	(30.0, 402748.0)	(31.0, 469001.0)	(32.0, 581870.0)	(33.0, 734931.0)	(34.0, 998871.0)	(35.0, 1471078.0)	(36.0, 2384160.0)	(37.0, 4576800.0)	(38.0, 11323171.0)	(39.0, 102141708.0)	(40.0, 72199114.0)					
CHa_47_T0_B_TWS042_10_LPART17_1	(11.0, 4.0)	(12.0, 128.0)	(13.0, 3701.0)	(14.0, 37999.0)	(15.0, 134308.0)	(16.0, 178793.0)	(17.0, 122231.0)	(18.0, 101441.0)	(19.0, 134353.0)	(20.0, 188181.0)	(21.0, 244797.0)	(22.0, 306458.0)	(23.0, 375906.0)	(24.0, 441890.0)	(25.0, 524815.0)	(26.0, 614711.0)	(27.0, 704949.0)	(28.0, 829617.0)	(29.0, 945682.0)	(30.0, 1123072.0)	(31.0, 1334702.0)	(32.0, 1666448.0)	(33.0, 2420107.0)	(34.0, 3539009.0)	(35.0, 5109607.0)	(36.0, 7315559.0)	(37.0, 13477167.0)	(38.0, 29179940.0)	(39.0, 307459120.0)	(40.0, 322566243.0)							
CHa_47_T0_B_TWS042_10_LPART17_2	(8.0, 1.0)	(9.0, 18.0)	(10.0, 867.0)	(11.0, 7092.0)	(12.0, 31201.0)	(13.0, 121863.0)	(14.0, 358115.0)	(15.0, 554814.0)	(16.0, 526467.0)	(17.0, 413428.0)	(18.0, 373740.0)	(19.0, 394536.0)	(20.0, 449217.0)	(21.0, 510416.0)	(22.0, 575629.0)	(23.0, 644340.0)	(24.0, 708992.0)	(25.0, 787343.0)	(26.0, 860741.0)	(27.0, 952830.0)	(28.0, 1069721.0)	(29.0, 1200495.0)	(30.0, 1407589.0)	(31.0, 1639078.0)	(32.0, 2019722.0)	(33.0, 2511536.0)	(34.0, 3410110.0)	(35.0, 4959237.0)	(36.0, 8018122.0)	(37.0, 15435535.0)	(38.0, 37657386.0)	(39.0, 332912014.0)	(40.0, 280568743.0)				
CHa_47_T0_B_TWS042_10_LPART18_1	(11.0, 3.0)	(12.0, 103.0)	(13.0, 3005.0)	(14.0, 27380.0)	(15.0, 89037.0)	(16.0, 111635.0)	(17.0, 83424.0)	(18.0, 84663.0)	(19.0, 119249.0)	(20.0, 169154.0)	(21.0, 217387.0)	(22.0, 275386.0)	(23.0, 338463.0)	(24.0, 398372.0)	(25.0, 476621.0)	(26.0, 560626.0)	(27.0, 646305.0)	(28.0, 765476.0)	(29.0, 872175.0)	(30.0, 1042112.0)	(31.0, 1238882.0)	(32.0, 1561144.0)	(33.0, 2259880.0)	(34.0, 3302073.0)	(35.0, 4772951.0)	(36.0, 6961145.0)	(37.0, 12974606.0)	(38.0, 28571160.0)	(39.0, 277149085.0)	(40.0, 243030314.0)							
CHa_47_T0_B_TWS042_10_LPART18_2	(9.0, 7.0)	(10.0, 387.0)	(11.0, 4617.0)	(12.0, 24217.0)	(13.0, 103952.0)	(14.0, 301340.0)	(15.0, 449567.0)	(16.0, 427358.0)	(17.0, 352853.0)	(18.0, 329279.0)	(19.0, 352610.0)	(20.0, 401254.0)	(21.0, 452573.0)	(22.0, 508779.0)	(23.0, 572713.0)	(24.0, 629886.0)	(25.0, 699581.0)	(26.0, 767857.0)	(27.0, 850324.0)	(28.0, 956328.0)	(29.0, 1074265.0)	(30.0, 1262222.0)	(31.0, 1463087.0)	(32.0, 1814827.0)	(33.0, 2264697.0)	(34.0, 3080395.0)	(35.0, 4522174.0)	(36.0, 7404916.0)	(37.0, 14459835.0)	(38.0, 35554069.0)	(39.0, 292959642.0)	(40.0, 214056205.0)					
CHa_47_T0_B_TWS042_10_LPART19_1	(11.0, 1.0)	(12.0, 4.0)	(13.0, 104.0)	(14.0, 1227.0)	(15.0, 5036.0)	(16.0, 7983.0)	(17.0, 8389.0)	(18.0, 11643.0)	(19.0, 19504.0)	(20.0, 29858.0)	(21.0, 39644.0)	(22.0, 50793.0)	(23.0, 63140.0)	(24.0, 75181.0)	(25.0, 91555.0)	(26.0, 110099.0)	(27.0, 129095.0)	(28.0, 155786.0)	(29.0, 180138.0)	(30.0, 215032.0)	(31.0, 257691.0)	(32.0, 327543.0)	(33.0, 471385.0)	(34.0, 691892.0)	(35.0, 1008867.0)	(36.0, 1451046.0)	(37.0, 2765085.0)	(38.0, 6389426.0)	(39.0, 79806580.0)	(40.0, 61924901.0)							
CHa_47_T0_B_TWS042_10_LPART19_2	(9.0, 9.0)	(10.0, 402.0)	(11.0, 3000.0)	(12.0, 10213.0)	(13.0, 28464.0)	(14.0, 66962.0)	(15.0, 92564.0)	(16.0, 90624.0)	(17.0, 81309.0)	(18.0, 80249.0)	(19.0, 86645.0)	(20.0, 96947.0)	(21.0, 108037.0)	(22.0, 120689.0)	(23.0, 134770.0)	(24.0, 146615.0)	(25.0, 162363.0)	(26.0, 177134.0)	(27.0, 195082.0)	(28.0, 219680.0)	(29.0, 245029.0)	(30.0, 287500.0)	(31.0, 334872.0)	(32.0, 413023.0)	(33.0, 521321.0)	(34.0, 709004.0)	(35.0, 1049203.0)	(36.0, 1719027.0)	(37.0, 3364635.0)	(38.0, 8473484.0)	(39.0, 79897560.0)	(40.0, 57372212.0)					
CHa_47_T0_B_TWS042_10_LPART1_1	(11.0, 2.0)	(12.0, 95.0)	(13.0, 2865.0)	(14.0, 22977.0)	(15.0, 59458.0)	(16.0, 68428.0)	(17.0, 73871.0)	(18.0, 106961.0)	(19.0, 157990.0)	(20.0, 219849.0)	(21.0, 278444.0)	(22.0, 346679.0)	(23.0, 425385.0)	(24.0, 502326.0)	(25.0, 619820.0)	(26.0, 744324.0)	(27.0, 881099.0)	(28.0, 1075954.0)	(29.0, 1252926.0)	(30.0, 1571886.0)	(31.0, 1903836.0)	(32.0, 2539200.0)	(33.0, 3572677.0)	(34.0, 5164853.0)	(35.0, 7991589.0)	(36.0, 13157210.0)	(37.0, 29092821.0)	(38.0, 74956567.0)	(39.0, 398443550.0)	(40.0, 95397063.0)							
CHa_47_T0_B_TWS042_10_LPART1_2	(8.0, 2.0)	(9.0, 7.0)	(10.0, 875.0)	(11.0, 11251.0)	(12.0, 57532.0)	(13.0, 201750.0)	(14.0, 457637.0)	(15.0, 597844.0)	(16.0, 584834.0)	(17.0, 532125.0)	(18.0, 519382.0)	(19.0, 551243.0)	(20.0, 620233.0)	(21.0, 692840.0)	(22.0, 779498.0)	(23.0, 881878.0)	(24.0, 977847.0)	(25.0, 1114651.0)	(26.0, 1247653.0)	(27.0, 1415535.0)	(28.0, 1640613.0)	(29.0, 1881095.0)	(30.0, 2306839.0)	(31.0, 2722643.0)	(32.0, 3521710.0)	(33.0, 4459967.0)	(34.0, 6162772.0)	(35.0, 9031858.0)	(36.0, 14647659.0)	(37.0, 30379125.0)	(38.0, 78307292.0)	(39.0, 384071560.0)	(40.0, 90252955.0)				
CHa_47_T0_B_TWS042_10_LPART20_1	(9.0, 1.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 46.0)	(13.0, 1451.0)	(14.0, 15815.0)	(15.0, 68257.0)	(16.0, 117341.0)	(17.0, 98832.0)	(18.0, 83223.0)	(19.0, 107586.0)	(20.0, 152461.0)	(21.0, 196421.0)	(22.0, 241156.0)	(23.0, 295497.0)	(24.0, 346791.0)	(25.0, 415821.0)	(26.0, 491998.0)	(27.0, 564250.0)	(28.0, 667323.0)	(29.0, 755277.0)	(30.0, 890448.0)	(31.0, 1054660.0)	(32.0, 1325962.0)	(33.0, 1917435.0)	(34.0, 2795960.0)	(35.0, 4020590.0)	(36.0, 5753472.0)	(37.0, 10757356.0)	(38.0, 24352974.0)	(39.0, 294673002.0)	(40.0, 268321525.0)					
CHa_47_T0_B_TWS042_10_LPART20_2	(4.0, 1.0)	(5.0, 4.0)	(6.0, 11.0)	(7.0, 14.0)	(8.0, 33.0)	(9.0, 116.0)	(10.0, 1466.0)	(11.0, 9912.0)	(12.0, 35206.0)	(13.0, 105830.0)	(14.0, 284520.0)	(15.0, 458949.0)	(16.0, 474474.0)	(17.0, 390387.0)	(18.0, 354317.0)	(19.0, 375115.0)	(20.0, 419956.0)	(21.0, 471139.0)	(22.0, 528486.0)	(23.0, 586708.0)	(24.0, 640763.0)	(25.0, 709850.0)	(26.0, 775515.0)	(27.0, 853271.0)	(28.0, 955592.0)	(29.0, 1068853.0)	(30.0, 1245300.0)	(31.0, 1446836.0)	(32.0, 1773715.0)	(33.0, 2210928.0)	(34.0, 2969185.0)	(35.0, 4328495.0)	(36.0, 6997101.0)	(37.0, 13400919.0)	(38.0, 32923132.0)	(39.0, 298337714.0)	(40.0, 245349121.0)
CHa_47_T0_B_TWS042_10_LPART21_1	(12.0, 51.0)	(13.0, 1286.0)	(14.0, 13604.0)	(15.0, 59682.0)	(16.0, 103585.0)	(17.0, 89654.0)	(18.0, 79764.0)	(19.0, 106729.0)	(20.0, 148843.0)	(21.0, 191971.0)	(22.0, 236739.0)	(23.0, 287329.0)	(24.0, 336792.0)	(25.0, 404150.0)	(26.0, 480780.0)	(27.0, 548222.0)	(28.0, 647825.0)	(29.0, 737384.0)	(30.0, 871273.0)	(31.0, 1031603.0)	(32.0, 1300057.0)	(33.0, 1890082.0)	(34.0, 2742627.0)	(35.0, 3954558.0)	(36.0, 5688863.0)	(37.0, 10789743.0)	(38.0, 24654284.0)	(39.0, 278960362.0)	(40.0, 245855197.0)								
CHa_47_T0_B_TWS042_10_LPART21_2	(4.0, 3.0)	(5.0, 5.0)	(6.0, 12.0)	(7.0, 27.0)	(8.0, 24.0)	(9.0, 105.0)	(10.0, 1557.0)	(11.0, 10216.0)	(12.0, 35961.0)	(13.0, 108867.0)	(14.0, 285681.0)	(15.0, 451503.0)	(16.0, 468178.0)	(17.0, 390386.0)	(18.0, 355026.0)	(19.0, 373005.0)	(20.0, 416438.0)	(21.0, 464830.0)	(22.0, 517165.0)	(23.0, 576664.0)	(24.0, 627858.0)	(25.0, 693820.0)	(26.0, 758551.0)	(27.0, 833563.0)	(28.0, 934458.0)	(29.0, 1041707.0)	(30.0, 1212920.0)	(31.0, 1401188.0)	(32.0, 1718900.0)	(33.0, 2135266.0)	(34.0, 2870019.0)	(35.0, 4202902.0)	(36.0, 6784615.0)	(37.0, 13133662.0)	(38.0, 32189021.0)	(39.0, 279469920.0)	(40.0, 227749016.0)
CHa_47_T0_B_TWS042_10_LPART22_1	(11.0, 3.0)	(12.0, 63.0)	(13.0, 1666.0)	(14.0, 16966.0)	(15.0, 61828.0)	(16.0, 84340.0)	(17.0, 63005.0)	(18.0, 62608.0)	(19.0, 90066.0)	(20.0, 129982.0)	(21.0, 171744.0)	(22.0, 217009.0)	(23.0, 269645.0)	(24.0, 317645.0)	(25.0, 379239.0)	(26.0, 444384.0)	(27.0, 509590.0)	(28.0, 600771.0)	(29.0, 683792.0)	(30.0, 810109.0)	(31.0, 961535.0)	(32.0, 1213269.0)	(33.0, 1754371.0)	(34.0, 2573618.0)	(35.0, 3712764.0)	(36.0, 5320299.0)	(37.0, 10014816.0)	(38.0, 22925237.0)	(39.0, 261752414.0)	(40.0, 233937272.0)							
CHa_47_T0_B_TWS042_10_LPART22_2	(5.0, 3.0)	(6.0, 4.0)	(7.0, 3.0)	(8.0, 28.0)	(9.0, 111.0)	(10.0, 1305.0)	(11.0, 9410.0)	(12.0, 32128.0)	(13.0, 94552.0)	(14.0, 247408.0)	(15.0, 374504.0)	(16.0, 368167.0)	(17.0, 304803.0)	(18.0, 286923.0)	(19.0, 306285.0)	(20.0, 345948.0)	(21.0, 390642.0)	(22.0, 439480.0)	(23.0, 490492.0)	(24.0, 535171.0)	(25.0, 592767.0)	(26.0, 644437.0)	(27.0, 705701.0)	(28.0, 790163.0)	(29.0, 875417.0)	(30.0, 1014145.0)	(31.0, 1167771.0)	(32.0, 1418796.0)	(33.0, 1767492.0)	(34.0, 2376800.0)	(35.0, 3508944.0)	(36.0, 5732545.0)	(37.0, 11162906.0)	(38.0, 28066698.0)	(39.0, 264721822.0)	(40.0, 220306279.0)	
CHa_47_T0_B_TWS042_10_LPART23_1	(10.0, 1.0)	(11.0, 6.0)	(12.0, 129.0)	(13.0, 3279.0)	(14.0, 35897.0)	(15.0, 136541.0)	(16.0, 185077.0)	(17.0, 122898.0)	(18.0, 99556.0)	(19.0, 131701.0)	(20.0, 185303.0)	(21.0, 243832.0)	(22.0, 306060.0)	(23.0, 376939.0)	(24.0, 443058.0)	(25.0, 530256.0)	(26.0, 617912.0)	(27.0, 705546.0)	(28.0, 833582.0)	(29.0, 943597.0)	(30.0, 1115487.0)	(31.0, 1321494.0)	(32.0, 1659819.0)	(33.0, 2375528.0)	(34.0, 3456401.0)	(35.0, 5014141.0)	(36.0, 7183387.0)	(37.0, 13519008.0)	(38.0, 30913786.0)	(39.0, 360527179.0)	(40.0, 334824606.0)						
CHa_47_T0_B_TWS042_10_LPART23_2	(5.0, 1.0)	(6.0, 1.0)	(7.0, 8.0)	(8.0, 20.0)	(9.0, 78.0)	(10.0, 1490.0)	(11.0, 12025.0)	(12.0, 44833.0)	(13.0, 140058.0)	(14.0, 375448.0)	(15.0, 586508.0)	(16.0, 570402.0)	(17.0, 453457.0)	(18.0, 415564.0)	(19.0, 440402.0)	(20.0, 495129.0)	(21.0, 558011.0)	(22.0, 624553.0)	(23.0, 695195.0)	(24.0, 758388.0)	(25.0, 837196.0)	(26.0, 910984.0)	(27.0, 995681.0)	(28.0, 1113511.0)	(29.0, 1234297.0)	(30.0, 1425668.0)	(31.0, 1643961.0)	(32.0, 1995578.0)	(33.0, 2484816.0)	(34.0, 3326306.0)	(35.0, 4873732.0)	(36.0, 7897170.0)	(37.0, 15394318.0)	(38.0, 38645034.0)	(39.0, 371888392.0)	(40.0, 306973791.0)	
CHa_47_T0_B_TWS042_10_LPART24_1	(12.0, 11.0)	(13.0, 388.0)	(14.0, 4319.0)	(15.0, 16670.0)	(16.0, 27796.0)	(17.0, 31523.0)	(18.0, 41257.0)	(19.0, 61876.0)	(20.0, 88169.0)	(21.0, 112600.0)	(22.0, 136217.0)	(23.0, 164442.0)	(24.0, 191122.0)	(25.0, 230287.0)	(26.0, 274017.0)	(27.0, 314750.0)	(28.0, 375562.0)	(29.0, 427279.0)	(30.0, 512303.0)	(31.0, 609783.0)	(32.0, 777399.0)	(33.0, 1110937.0)	(34.0, 1625599.0)	(35.0, 2441293.0)	(36.0, 3771606.0)	(37.0, 8086361.0)	(38.0, 21956039.0)	(39.0, 206575299.0)	(40.0, 99135513.0)								
CHa_47_T0_B_TWS042_10_LPART24_2	(9.0, 33.0)	(10.0, 1146.0)	(11.0, 7969.0)	(12.0, 26102.0)	(13.0, 70143.0)	(14.0, 162376.0)	(15.0, 225817.0)	(16.0, 229134.0)	(17.0, 207743.0)	(18.0, 200504.0)	(19.0, 215857.0)	(20.0, 245296.0)	(21.0, 277459.0)	(22.0, 312499.0)	(23.0, 350146.0)	(24.0, 384259.0)	(25.0, 426641.0)	(26.0, 467525.0)	(27.0, 518704.0)	(28.0, 586474.0)	(29.0, 661795.0)	(30.0, 787769.0)	(31.0, 929475.0)	(32.0, 1179820.0)	(33.0, 1497503.0)	(34.0, 2089530.0)	(35.0, 3070104.0)	(36.0, 5028860.0)	(37.0, 10244468.0)	(38.0, 26759503.0)	(39.0, 196839046.0)	(40.0, 95096717.0)					
CHa_47_T0_B_TWS042_10_LPART25_1	(12.0, 1.0)	(13.0, 59.0)	(14.0, 725.0)	(15.0, 2718.0)	(16.0, 3961.0)	(17.0, 4290.0)	(18.0, 6648.0)	(19.0, 11543.0)	(20.0, 17726.0)	(21.0, 24493.0)	(22.0, 31468.0)	(23.0, 39633.0)	(24.0, 47299.0)	(25.0, 57514.0)	(26.0, 68533.0)	(27.0, 79711.0)	(28.0, 95633.0)	(29.0, 110197.0)	(30.0, 132776.0)	(31.0, 159459.0)	(32.0, 203815.0)	(33.0, 300534.0)	(34.0, 437476.0)	(35.0, 649834.0)	(36.0, 970551.0)	(37.0, 1927778.0)	(38.0, 4807961.0)	(39.0, 55460097.0)	(40.0, 37863959.0)								
