Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
CHa_47_T0_B_TWS042_10_LPART10_1	(11.0, 4.0)	(12.0, 80.0)	(13.0, 2393.0)	(14.0, 23609.0)	(15.0, 90719.0)	(16.0, 142104.0)	(17.0, 113723.0)	(18.0, 94851.0)	(19.0, 124763.0)	(20.0, 176167.0)	(21.0, 226498.0)	(22.0, 272862.0)	(23.0, 325573.0)	(24.0, 379004.0)	(25.0, 448336.0)	(26.0, 534660.0)	(27.0, 614312.0)	(28.0, 722983.0)	(29.0, 825850.0)	(30.0, 967519.0)	(31.0, 1146489.0)	(32.0, 1434767.0)	(33.0, 2070135.0)	(34.0, 3020591.0)	(35.0, 4268159.0)	(36.0, 6013022.0)	(37.0, 11233436.0)	(38.0, 26011108.0)	(39.0, 361275835.0)	(40.0, 277546432.0)							
CHa_47_T0_B_TWS042_10_LPART10_2	(4.0, 2.0)	(5.0, 4.0)	(6.0, 8.0)	(7.0, 16.0)	(8.0, 29.0)	(9.0, 123.0)	(10.0, 1204.0)	(11.0, 9136.0)	(12.0, 35922.0)	(13.0, 120707.0)	(14.0, 330717.0)	(15.0, 528909.0)	(16.0, 552592.0)	(17.0, 463882.0)	(18.0, 424262.0)	(19.0, 437983.0)	(20.0, 482084.0)	(21.0, 534329.0)	(22.0, 590528.0)	(23.0, 655458.0)	(24.0, 715286.0)	(25.0, 784643.0)	(26.0, 858057.0)	(27.0, 941446.0)	(28.0, 1052063.0)	(29.0, 1177377.0)	(30.0, 1369260.0)	(31.0, 1587007.0)	(32.0, 1943641.0)	(33.0, 2396971.0)	(34.0, 3201801.0)	(35.0, 4615119.0)	(36.0, 7561020.0)	(37.0, 14222847.0)	(38.0, 35568499.0)	(39.0, 348431018.0)	(40.0, 268512034.0)
CHa_47_T0_B_TWS042_10_LPART11_1	(12.0, 4.0)	(13.0, 138.0)	(14.0, 1392.0)	(15.0, 5136.0)	(16.0, 8352.0)	(17.0, 10387.0)	(18.0, 15118.0)	(19.0, 23568.0)	(20.0, 34733.0)	(21.0, 45469.0)	(22.0, 56191.0)	(23.0, 69369.0)	(24.0, 80708.0)	(25.0, 95757.0)	(26.0, 112736.0)	(27.0, 128450.0)	(28.0, 151929.0)	(29.0, 172318.0)	(30.0, 205100.0)	(31.0, 242134.0)	(32.0, 302128.0)	(33.0, 428710.0)	(34.0, 621154.0)	(35.0, 923303.0)	(36.0, 1374776.0)	(37.0, 2800326.0)	(38.0, 7155323.0)	(39.0, 77274144.0)	(40.0, 50132944.0)								
CHa_47_T0_B_TWS042_10_LPART11_2	(9.0, 12.0)	(10.0, 419.0)	(11.0, 3065.0)	(12.0, 10062.0)	(13.0, 27237.0)	(14.0, 62568.0)	(15.0, 87272.0)	(16.0, 86684.0)	(17.0, 80843.0)	(18.0, 79955.0)	(19.0, 87130.0)	(20.0, 99096.0)	(21.0, 111536.0)	(22.0, 125051.0)	(23.0, 139355.0)	(24.0, 152164.0)	(25.0, 167417.0)	(26.0, 183372.0)	(27.0, 200633.0)	(28.0, 224275.0)	(29.0, 249161.0)	(30.0, 291669.0)	(31.0, 340237.0)	(32.0, 422142.0)	(33.0, 532370.0)	(34.0, 730984.0)	(35.0, 1065066.0)	(36.0, 1733509.0)	(37.0, 3436028.0)	(38.0, 8803984.0)	(39.0, 76225442.0)	(40.0, 46713059.0)					
CHa_47_T0_B_TWS042_10_LPART12_1	(12.0, 11.0)	(13.0, 185.0)	(14.0, 2153.0)	(15.0, 8605.0)	(16.0, 14310.0)	(17.0, 17943.0)	(18.0, 27564.0)	(19.0, 45267.0)	(20.0, 68801.0)	(21.0, 91500.0)	(22.0, 114529.0)	(23.0, 141049.0)	(24.0, 165977.0)	(25.0, 199293.0)	(26.0, 234387.0)	(27.0, 271189.0)	(28.0, 324144.0)	(29.0, 370757.0)	(30.0, 445522.0)	(31.0, 528819.0)	(32.0, 676285.0)	(33.0, 968017.0)	(34.0, 1404938.0)	(35.0, 2099870.0)	(36.0, 3217641.0)	(37.0, 6693314.0)	(38.0, 17791107.0)	(39.0, 176223050.0)	(40.0, 87059379.0)								
CHa_47_T0_B_TWS042_10_LPART12_2	(9.0, 8.0)	(10.0, 450.0)	(11.0, 3833.0)	(12.0, 14572.0)	(13.0, 47711.0)	(14.0, 116516.0)	(15.0, 160091.0)	(16.0, 159405.0)	(17.0, 149712.0)	(18.0, 151651.0)	(19.0, 166635.0)	(20.0, 192461.0)	(21.0, 221331.0)	(22.0, 251795.0)	(23.0, 286422.0)	(24.0, 316085.0)	(25.0, 352797.0)	(26.0, 389334.0)	(27.0, 432595.0)	(28.0, 489101.0)	(29.0, 552428.0)	(30.0, 654097.0)	(31.0, 769879.0)	(32.0, 967833.0)	(33.0, 1232076.0)	(34.0, 1707496.0)	(35.0, 2502266.0)	(36.0, 4092845.0)	(37.0, 8244132.0)	(38.0, 21411353.0)	(39.0, 169010946.0)	(40.0, 84157750.0)					
CHa_47_T0_B_TWS042_10_LPART13_1	(11.0, 2.0)	(12.0, 120.0)	(13.0, 2991.0)	(14.0, 24851.0)	(15.0, 67960.0)	(16.0, 77775.0)	(17.0, 81803.0)	(18.0, 114301.0)	(19.0, 165720.0)	(20.0, 229083.0)	(21.0, 288890.0)	(22.0, 358658.0)	(23.0, 440864.0)	(24.0, 520458.0)	(25.0, 642596.0)	(26.0, 773551.0)	(27.0, 916600.0)	(28.0, 1129994.0)	(29.0, 1311707.0)	(30.0, 1651995.0)	(31.0, 1998544.0)	(32.0, 2685275.0)	(33.0, 3775136.0)	(34.0, 5470473.0)	(35.0, 8504854.0)	(36.0, 14096030.0)	(37.0, 31158937.0)	(38.0, 79372423.0)	(39.0, 386406029.0)	(40.0, 87267062.0)							
CHa_47_T0_B_TWS042_10_LPART13_2	(7.0, 1.0)	(8.0, 5.0)	(9.0, 16.0)	(10.0, 1047.0)	(11.0, 12666.0)	(12.0, 63043.0)	(13.0, 212567.0)	(14.0, 477074.0)	(15.0, 640650.0)	(16.0, 638850.0)	(17.0, 588429.0)	(18.0, 570657.0)	(19.0, 601606.0)	(20.0, 674476.0)	(21.0, 750626.0)	(22.0, 840143.0)	(23.0, 949977.0)	(24.0, 1050999.0)	(25.0, 1195169.0)	(26.0, 1333483.0)	(27.0, 1510179.0)	(28.0, 1751161.0)	(29.0, 2000596.0)	(30.0, 2453765.0)	(31.0, 2890596.0)	(32.0, 3743561.0)	(33.0, 4739872.0)	(34.0, 6550844.0)	(35.0, 9633129.0)	(36.0, 15660966.0)	(37.0, 32582569.0)	(38.0, 82039287.0)	(39.0, 371723059.0)	(40.0, 81653614.0)			
CHa_47_T0_B_TWS042_10_LPART14_1	(11.0, 1.0)	(12.0, 103.0)	(13.0, 2935.0)	(14.0, 22531.0)	(15.0, 57166.0)	(16.0, 70118.0)	(17.0, 82915.0)	(18.0, 121731.0)	(19.0, 176347.0)	(20.0, 240160.0)	(21.0, 295951.0)	(22.0, 357064.0)	(23.0, 438802.0)	(24.0, 516748.0)	(25.0, 643827.0)	(26.0, 793150.0)	(27.0, 955043.0)	(28.0, 1210317.0)	(29.0, 1422251.0)	(30.0, 1824706.0)	(31.0, 2225989.0)	(32.0, 2983504.0)	(33.0, 4162536.0)	(34.0, 5908214.0)	(35.0, 9084586.0)	(36.0, 14775361.0)	(37.0, 32114380.0)	(38.0, 77260690.0)	(39.0, 329998162.0)	(40.0, 73482980.0)							
CHa_47_T0_B_TWS042_10_LPART14_2	(8.0, 1.0)	(9.0, 8.0)	(10.0, 605.0)	(11.0, 8996.0)	(12.0, 50083.0)	(13.0, 185386.0)	(14.0, 417267.0)	(15.0, 537530.0)	(16.0, 523223.0)	(17.0, 478251.0)	(18.0, 466443.0)	(19.0, 498327.0)	(20.0, 566534.0)	(21.0, 636541.0)	(22.0, 724309.0)	(23.0, 831450.0)	(24.0, 932225.0)	(25.0, 1087829.0)	(26.0, 1234051.0)	(27.0, 1437413.0)	(28.0, 1706224.0)	(29.0, 1984673.0)	(30.0, 2493362.0)	(31.0, 2959591.0)	(32.0, 3893519.0)	(33.0, 4933813.0)	(34.0, 6829019.0)	(35.0, 9999186.0)	(36.0, 16265575.0)	(37.0, 33830524.0)	(38.0, 82099735.0)	(39.0, 314696865.0)	(40.0, 68919710.0)				
