Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CHa_47_T0_B_TWS042_10_LPART10_1	CHa_47_T0_B_TWS042_10_LPART10_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	700105984.0	105 Gbp	0.0	150.0	51.0	67.15985522614216	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	warn	pass	warn
CHa_47_T0_B_TWS042_10_LPART10_2	CHa_47_T0_B_TWS042_10_LPART10_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	700105984.0	105 Gbp	0.0	150.0	51.0	67.25184327887895	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	warn
CHa_47_T0_B_TWS042_10_LPART11_1	CHa_47_T0_B_TWS042_10_LPART11_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	142471797.0	21.3 Gbp	0.0	150.0	51.0	83.23555319330093	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	warn
CHa_47_T0_B_TWS042_10_LPART11_2	CHa_47_T0_B_TWS042_10_LPART11_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	142471797.0	21.3 Gbp	0.0	150.0	51.0	82.9471322072445	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	warn
CHa_47_T0_B_TWS042_10_LPART12_1	CHa_47_T0_B_TWS042_10_LPART12_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299205606.0	44.8 Gbp	0.0	150.0	51.0	77.21745531493072	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
CHa_47_T0_B_TWS042_10_LPART12_2	CHa_47_T0_B_TWS042_10_LPART12_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299205606.0	44.8 Gbp	0.0	150.0	51.0	76.72270211253324	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	warn	warn
CHa_47_T0_B_TWS042_10_LPART13_1	CHa_47_T0_B_TWS042_10_LPART13_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	629534682.0	94.4 Gbp	0.0	150.0	50.0	69.21732341830109	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	warn
CHa_47_T0_B_TWS042_10_LPART13_2	CHa_47_T0_B_TWS042_10_LPART13_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	629534682.0	94.4 Gbp	0.0	150.0	51.0	68.29326821647822	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	warn
CHa_47_T0_B_TWS042_10_LPART14_1	CHa_47_T0_B_TWS042_10_LPART14_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	561228268.0	84.1 Gbp	0.0	150.0	50.0	71.77562846066384	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
CHa_47_T0_B_TWS042_10_LPART14_2	CHa_47_T0_B_TWS042_10_LPART14_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	561228268.0	84.1 Gbp	0.0	150.0	51.0	71.19774048965871	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	pass	warn	warn
CHa_47_T0_B_TWS042_10_LPART15_1	CHa_47_T0_B_TWS042_10_LPART15_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	321725539.0	48.2 Gbp	0.0	150.0	50.0	76.32467996590361	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	warn
CHa_47_T0_B_TWS042_10_LPART15_2	CHa_47_T0_B_TWS042_10_LPART15_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	321725539.0	48.2 Gbp	0.0	150.0	51.0	76.08427518942392	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	pass	warn	warn
