Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
CHa_47_T0_B_TWS042_10_LPART31_2	(1.0, 84.32799119064816)	(2.0, 11.873284658494752)	(3.0, 2.312878560383724)	(4.0, 0.6417491881455007)	(5.0, 0.21473113416252956)	(6.0, 0.08495278415311588)	(7.0, 0.04300601568381324)	(8.0, 0.028023396849283053)	(9.0, 0.014021442761852016)	('>10', 0.05329611080876995)	('>50', 0.003117388288919423)	('>100', 0.012933348405764914)	('>500', 0.0017395637787268354)	('>1k', 0.004263826150795295)	('>5k', 0.0)	('>10k+', 0.3840113912842698)
CHa_47_T0_B_TWS042_10_LPART32_1	(1.0, 49.23912952159462)	(2.0, 24.8595088916455)	(3.0, 12.303730789089494)	(4.0, 6.070841044987106)	(5.0, 2.9486418392566867)	(6.0, 1.6084773942852282)	(7.0, 0.8843324352072949)	(8.0, 0.5362440049042334)	(9.0, 0.30116085810562726)	('>10', 1.1694003125212233)	('>50', 0.060304881078556284)	('>100', 0.018228027324498915)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART32_2	(1.0, 48.7641630718979)	(2.0, 24.77898434406174)	(3.0, 12.371048244077839)	(4.0, 6.077418063009466)	(5.0, 2.980163708310201)	(6.0, 1.578386349626001)	(7.0, 0.9267775759577256)	(8.0, 0.5461444890902701)	(9.0, 0.3418657122524896)	('>10', 1.1689431064642664)	('>50', 0.054070234913716514)	('>100', 0.015174556770011012)	('>500', 0.0020807526068559274)	('>1k', 0.008306382382270792)	('>5k', 0.0018241448365760844)	('>10k+', 0.38464926374266395)
CHa_47_T0_B_TWS042_10_LPART33_1	(1.0, 53.70764816049003)	(2.0, 22.923766332332033)	(3.0, 11.112880700935087)	(4.0, 5.431916274763526)	(5.0, 2.7417076509208638)	(6.0, 1.4525047710058365)	(7.0, 0.762333077566946)	(8.0, 0.46724591577236185)	(9.0, 0.35421808811930006)	('>10', 0.9742983338855735)	('>50', 0.06034533852889443)	('>100', 0.011135355679614288)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART33_2	(1.0, 51.183325295594464)	(2.0, 23.742096753312232)	(3.0, 11.579689587688948)	(4.0, 5.708797052874788)	(5.0, 2.783525121327975)	(6.0, 1.538140399178396)	(7.0, 0.8537148396047992)	(8.0, 0.506503414177266)	(9.0, 0.3214446249329631)	('>10', 1.130329367661734)	('>50', 0.06703328455094001)	('>100', 0.019112555952212434)	('>500', 0.0021470824089229712)	('>1k', 0.023150275592080594)	('>5k', 0.003311864938127063)	('>10k+', 0.5376784802041312)
CHa_47_T0_B_TWS042_10_LPART34_1	(1.0, 61.85954319744225)	(2.0, 23.067004206713005)	(3.0, 8.520768714514112)	(4.0, 3.265213299471253)	(5.0, 1.4347683963959201)	(6.0, 0.6354444865737491)	(7.0, 0.36631627317790255)	(8.0, 0.18418920864097216)	(9.0, 0.1351609873968284)	('>10', 0.5052881926740279)	('>50', 0.023237774421118965)	('>100', 0.003065262578855042)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART34_2	(1.0, 61.81135140277887)	(2.0, 22.554419532898194)	(3.0, 8.42270624539691)	(4.0, 3.2046876400666493)	(5.0, 1.4035841098231117)	(6.0, 0.6264548296617971)	(7.0, 0.3415782509022549)	(8.0, 0.18770028552362852)	(9.0, 0.1291272311974207)	('>10', 0.4824520330998175)	('>50', 0.018034817437999534)	('>100', 0.004062257123922357)	('>500', 0.008879777175593311)	('>1k', 0.01675018201567757)	('>5k', 0.0020897967712399674)	('>10k+', 0.7861216081269236)
CHa_47_T0_B_TWS042_10_LPART35_1	(1.0, 62.914700095327746)	(2.0, 22.34899691213886)	(3.0, 8.327708907075449)	(4.0, 3.182163952001961)	(5.0, 1.3667193122209331)	(6.0, 0.6694597872363961)	(7.0, 0.33228153105203284)	(8.0, 0.19819972497596644)	(9.0, 0.14516957113537354)	('>10', 0.492200084533251)	('>50', 0.019199297359423315)	('>100', 0.002082400048141787)	('>500', 0.0011184248944623295)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART35_2	(1.0, 62.801431943220784)	(2.0, 21.87724448816075)	(3.0, 8.136084142511631)	(4.0, 3.1559024255025867)	(5.0, 1.3047686073351894)	(6.0, 0.6044320485883339)	(7.0, 0.2983005575971494)	(8.0, 0.19724707107770262)	(9.0, 0.11598805391950363)	('>10', 0.48342853760783505)	('>50', 0.010999625672183062)	('>100', 0.004045115909893595)	('>500', 0.012287954546983695)	('>1k', 0.019801771105879686)	('>5k', 0.0021778928825594546)	('>10k+', 0.9758597643610619)
CHa_47_T0_B_TWS042_10_LPART36_1	(1.0, 64.28516780999624)	(2.0, 22.20517432761332)	(3.0, 7.878670406300797)	(4.0, 2.898075514855162)	(5.0, 1.166618514184007)	(6.0, 0.5333676004640113)	(7.0, 0.29324873431898063)	(8.0, 0.15515626792376036)	(9.0, 0.11012842000471161)	('>10', 0.44911528742688256)	('>50', 0.02324307822004534)	('>100', 0.0020340386921224984)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART36_2	(1.0, 64.16671680775146)	(2.0, 21.93488738043082)	(3.0, 7.681960966455183)	(4.0, 2.798491694004068)	(5.0, 1.132690530670862)	(6.0, 0.5028357821874812)	(7.0, 0.3041349429305706)	(8.0, 0.16501454037593385)	(9.0, 0.1103586383417835)	('>10', 0.4698563039007648)	('>50', 0.019086815984225795)	('>100', 0.005106179319591986)	('>500', 0.003268602255083515)	('>1k', 0.012340259465374573)	('>5k', 0.002819394577951777)	('>10k+', 0.6904311613488465)
CHa_47_T0_B_TWS042_10_LPART37_1	(1.0, 68.59824367800906)	(2.0, 20.662015066303397)	(3.0, 6.578026426850216)	(4.0, 2.221151746557425)	(5.0, 0.8276032833924579)	(6.0, 0.3893657351167245)	(7.0, 0.20523594098169573)	(8.0, 0.1201634039639191)	(9.0, 0.08713680726860759)	('>10', 0.3019263984434726)	('>50', 0.007084840919133646)	('>100', 0.0020466721939238187)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART37_2	(1.0, 68.43864837248414)	(2.0, 20.53742152074276)	(3.0, 6.4684546549337485)	(4.0, 2.212440896434631)	(5.0, 0.838690988058962)	(6.0, 0.3890112726834923)	(7.0, 0.20352573841208957)	(8.0, 0.10577587406702903)	(9.0, 0.064876243255262)	('>10', 0.35990244612430927)	('>50', 0.006056823775602151)	('>100', 0.006298319890910878)	('>500', 0.011728644245756616)	('>1k', 0.015347433634416124)	('>5k', 0.0)	('>10k+', 0.3418207712569109)
CHa_47_T0_B_TWS042_10_LPART38_1	(1.0, 69.00920629597233)	(2.0, 20.21696282405271)	(3.0, 6.529004759078787)	(4.0, 2.2601684208747885)	(5.0, 0.8346066009580924)	(6.0, 0.41038436626976393)	(7.0, 0.21024100598426027)	(8.0, 0.11115072088173511)	(9.0, 0.08413171816747779)	('>10', 0.3250304181979218)	('>50', 0.009112869562106397)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART38_2	(1.0, 68.77025164427364)	(2.0, 20.3158689075955)	(3.0, 6.414157870293076)	(4.0, 2.201653358319279)	(5.0, 0.8327748995213938)	(6.0, 0.4020105673723638)	(7.0, 0.18857559761500292)	(8.0, 0.11775977166310829)	(9.0, 0.06787582369696755)	('>10', 0.31995654008273416)	('>50', 0.00605937354362719)	('>100', 0.006416308052731721)	('>500', 0.009521232083931784)	('>1k', 0.013070953215503552)	('>5k', 0.0)	('>10k+', 0.3340471526711628)
CHa_47_T0_B_TWS042_10_LPART39_1	(1.0, 55.67106109246416)	(2.0, 24.152110129385285)	(3.0, 10.300377558058228)	(4.0, 4.491180709490409)	(5.0, 2.237877313692732)	(6.0, 1.1305891968680415)	(7.0, 0.5853806327669084)	(8.0, 0.3402651682340795)	(9.0, 0.2562327475118019)	('>10', 0.7895156280013329)	('>50', 0.040330314597482944)	('>100', 0.0050795089295503585)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART39_2	(1.0, 55.71725225020563)	(2.0, 23.622911144737095)	(3.0, 10.148101035900838)	(4.0, 4.497506096690843)	(5.0, 2.1582088478306227)	(6.0, 1.1149872804526024)	(7.0, 0.5908311006952534)	(8.0, 0.34759270216443205)	(9.0, 0.22944088326761788)	('>10', 0.7387364685666408)	('>50', 0.036030964473554396)	('>100', 0.007056390686185499)	('>500', 0.008782489008942823)	('>1k', 0.01995200510915119)	('>5k', 0.0025150349068389383)	('>10k+', 0.7600953053037897)
CHa_47_T0_B_TWS042_10_LPART3_1	(1.0, 59.59302045992981)	(2.0, 23.659078901728524)	(3.0, 9.089350552183587)	(4.0, 3.729758758912325)	(5.0, 1.6881554237372947)	(6.0, 0.858770533007828)	(7.0, 0.47352561936592086)	(8.0, 0.2543364141517351)	(9.0, 0.14722604404296386)	('>10', 0.49462179107070176)	('>50', 0.012155501869305611)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART3_2	(1.0, 59.50711319281392)	(2.0, 23.243895953809353)	(3.0, 8.759719318115062)	(4.0, 3.547156646385843)	(5.0, 1.6745513324516434)	(6.0, 0.8211303579827767)	(7.0, 0.42351645434667884)	(8.0, 0.2365467122445249)	(9.0, 0.10988400591449266)	('>10', 0.4590424795592668)	('>50', 0.014017975221123873)	('>100', 0.003101020999293946)	('>500', 0.010472957608424049)	('>1k', 0.04897741240759094)	('>5k', 0.002865320005124619)	('>10k+', 1.1380088601348965)
CHa_47_T0_B_TWS042_10_LPART40_1	(1.0, 46.23708882878486)	(2.0, 24.976222599803112)	(3.0, 12.836564274750813)	(4.0, 6.676794771490917)	(5.0, 3.463672312152847)	(6.0, 1.9505250136900774)	(7.0, 1.122386347000145)	(8.0, 0.6952915118765848)	(9.0, 0.43821661249535526)	('>10', 1.5026237382515173)	('>50', 0.0784048832843696)	('>100', 0.022209106419385415)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART40_2	(1.0, 46.3132333021577)	(2.0, 24.84143019906021)	(3.0, 12.704005962687734)	(4.0, 6.487703995880365)	(5.0, 3.3311027014250856)	(6.0, 1.9480960045508084)	(7.0, 1.1148443454453822)	(8.0, 0.6643818929369488)	(9.0, 0.4267085244521057)	('>10', 1.4401564478598379)	('>50', 0.1009142723847259)	('>100', 0.02611250049144522)	('>500', 0.0031837767410366692)	('>1k', 0.013927715661359927)	('>5k', 0.00184658732285036)	('>10k+', 0.5823517709423739)
CHa_47_T0_B_TWS042_10_LPART41_1	(1.0, 49.27981596605291)	(2.0, 24.520439204594418)	(3.0, 11.831703344459925)	(4.0, 5.9778473779492325)	(5.0, 3.202717572929607)	(6.0, 1.6825154225684793)	(7.0, 1.0454062664561303)	(8.0, 0.6292963304751722)	(9.0, 0.43323964820447863)	('>10', 1.323546391284667)	('>50', 0.05829925935869278)	('>100', 0.015173215666307251)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART41_2	(1.0, 49.30968852318022)	(2.0, 24.20047147654111)	(3.0, 11.857598073989259)	(4.0, 5.910392260388205)	(5.0, 3.075288582369689)	(6.0, 1.6760312450126078)	(7.0, 0.9609375084890688)	(8.0, 0.5959099739726056)	(9.0, 0.38901504811921234)	('>10', 1.3469894944726308)	('>50', 0.07198547933007778)	('>100', 0.021126852967276937)	('>500', 0.007453656415446249)	('>1k', 0.013813225752972851)	('>5k', 0.0018881018242448962)	('>10k+', 0.5614104971754286)
CHa_47_T0_B_TWS042_10_LPART4_1	(1.0, 47.6822060095282)	(2.0, 26.08139654089106)	(3.0, 12.697955199583019)	(4.0, 6.134064714008707)	(5.0, 3.0318243845542727)	(6.0, 1.533567778786168)	(7.0, 0.8393932931277542)	(8.0, 0.532301731108811)	(9.0, 0.31621032004717986)	('>10', 1.0886103731230774)	('>50', 0.050310048119254915)	('>100', 0.012159607122492502)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART4_2	(1.0, 47.49767769396821)	(2.0, 25.96557905622927)	(3.0, 12.718254364117495)	(4.0, 5.986880331220973)	(5.0, 3.020122494842176)	(6.0, 1.4917867109003284)	(7.0, 0.8654808613768401)	(8.0, 0.5269096279889111)	(9.0, 0.2978478155584932)	('>10', 1.074613107139288)	('>50', 0.06713402899262129)	('>100', 0.01713196095500983)	('>500', 0.0021180457032731097)	('>1k', 0.016189257505947796)	('>5k', 0.00375759793805564)	('>10k+', 0.4485170455631403)
CHa_47_T0_B_TWS042_10_LPART5_1	(1.0, 47.956959577424854)	(2.0, 25.066409190313205)	(3.0, 12.721737283499237)	(4.0, 6.296878226644645)	(5.0, 3.1466953468236567)	(6.0, 1.7205204138406875)	(7.0, 0.9543664420012874)	(8.0, 0.5552584415620749)	(9.0, 0.35919644992044025)	('>10', 1.1333114378421278)	('>50', 0.06635897921222542)	('>100', 0.0212481341277724)	('>500', 0.0010600767878483626)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART5_2	(1.0, 46.85558557598319)	(2.0, 25.396667693966325)	(3.0, 12.848810365752128)	(4.0, 6.403508395264304)	(5.0, 3.1586711102298946)	(6.0, 1.73491970200851)	(7.0, 0.9926025968853298)	(8.0, 0.5760754489025717)	(9.0, 0.35683711052401923)	('>10', 1.1769204685106587)	('>50', 0.07310001318906084)	('>100', 0.022210755952710604)	('>500', 0.0031977726002120743)	('>1k', 0.01750469001491673)	('>5k', 0.00828342778476391)	('>10k+', 0.3751048724314437)
CHa_47_T0_B_TWS042_10_LPART6_1	(1.0, 44.3831802409177)	(2.0, 26.070124140121354)	(3.0, 13.745568986176474)	(4.0, 6.901803211972414)	(5.0, 3.5186733072211505)	(6.0, 1.8714984184933865)	(7.0, 1.0113451529167496)	(8.0, 0.6082531756594193)	(9.0, 0.41720492250512464)	('>10', 1.3675158961056144)	('>50', 0.07537917550390254)	('>100', 0.028322951878139567)	('>500', 0.0)	('>1k', 0.001130420528574173)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART6_2	(1.0, 44.69149330339505)	(2.0, 25.724538899285854)	(3.0, 13.558194800029263)	(4.0, 6.74132545609647)	(5.0, 3.4892456003025893)	(6.0, 1.7681230993608428)	(7.0, 0.9915359587126458)	(8.0, 0.6096861835945818)	(9.0, 0.37200608909710964)	('>10', 1.3366088663598774)	('>50', 0.08492746808240215)	('>100', 0.03016131133783329)	('>500', 0.0010546793851125282)	('>1k', 0.016801216608444313)	('>5k', 0.003363824446794358)	('>10k+', 0.5809332439051427)
CHa_47_T0_B_TWS042_10_LPART7_1	(1.0, 48.76624929861134)	(2.0, 26.0215609996855)	(3.0, 12.670806723472722)	(4.0, 5.72082493016164)	(5.0, 2.744616767504894)	(6.0, 1.4574448581814001)	(7.0, 0.7512897991516612)	(8.0, 0.44020523723868366)	(9.0, 0.26814660042485444)	('>10', 1.0753225781875926)	('>50', 0.0623176466317436)	('>100', 0.021214560747975657)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART7_2	(1.0, 48.142005476990384)	(2.0, 25.775651570722914)	(3.0, 12.605139201677016)	(4.0, 5.9502561152638505)	(5.0, 2.8396945578792767)	(6.0, 1.4135005173319801)	(7.0, 0.766453371789452)	(8.0, 0.41556850657054184)	(9.0, 0.2923133566625934)	('>10', 1.0486691095583789)	('>50', 0.06792266960521999)	('>100', 0.02514710401958291)	('>500', 0.002109137104669742)	('>1k', 0.025493442697536804)	('>5k', 0.005024897210429066)	('>10k+', 0.6250509649161865)
CHa_47_T0_B_TWS042_10_LPART8_1	(1.0, 76.6963470516233)	(2.0, 16.851918597844467)	(3.0, 4.47173035290415)	(4.0, 1.3143131939207864)	(5.0, 0.43376411762350603)	(6.0, 0.1456050094362018)	(7.0, 0.05067708983002519)	(8.0, 0.016255063280293608)	(9.0, 0.01018344873987099)	('>10', 0.009206074797408086)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART8_2	(1.0, 76.22359083100561)	(2.0, 16.629157436056648)	(3.0, 4.400557458625417)	(4.0, 1.3002366737745692)	(5.0, 0.4144213088884575)	(6.0, 0.13144453119842447)	(7.0, 0.05833482353166558)	(8.0, 0.01814680816133968)	(9.0, 0.005052714680770606)	('>10', 0.012323433895792739)	('>50', 0.021112474568622877)	('>100', 0.027645415255782388)	('>500', 0.003148104275688435)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.7548279860811785)
CHa_47_T0_B_TWS042_10_LPART9_1	(1.0, 47.93673780394532)	(2.0, 25.58038179165618)	(3.0, 12.487767116258516)	(4.0, 6.131901489814527)	(5.0, 2.987694918485144)	(6.0, 1.7295502753214829)	(7.0, 0.9523844953029187)	(8.0, 0.5752814659147151)	(9.0, 0.35220244756905367)	('>10', 1.1804962001636683)	('>50', 0.0703939426412954)	('>100', 0.015208052927200268)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART9_2	(1.0, 48.79359413608802)	(2.0, 24.927492188557256)	(3.0, 12.290751932792372)	(4.0, 5.853950858484573)	(5.0, 2.8978792647660563)	(6.0, 1.6694328526659123)	(7.0, 0.8676222473424131)	(8.0, 0.529374504606052)	(9.0, 0.3264092262328535)	('>10', 1.1950262048840066)	('>50', 0.06400839726162542)	('>100', 0.017166483534772594)	('>500', 0.0032150760113613384)	('>1k', 0.021134954729686146)	('>5k', 0.0015504335260432696)	('>10k+', 0.54139123851698)
