Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
CHa_47_T0_B_TWS042_10_LPART16_1	(1.0, 72.99043453988895)	(2.0, 18.611798313702604)	(3.0, 5.339231575186126)	(4.0, 1.6821530639988196)	(5.0, 0.6185894444018096)	(6.0, 0.28134329644030126)	(7.0, 0.1321966331758497)	(8.0, 0.07212655028203585)	(9.0, 0.06012154128666425)	('>10', 0.20881454377239692)	('>50', 0.0010133267292838487)	('>100', 0.0021771711351175295)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART16_2	(1.0, 73.0498109182305)	(2.0, 18.2539024492408)	(3.0, 5.230036877136151)	(4.0, 1.668399526576504)	(5.0, 0.6001468225340219)	(6.0, 0.26525224089422206)	(7.0, 0.1466260565039185)	(8.0, 0.07882015694101219)	(9.0, 0.06486940799296036)	('>10', 0.21902753002923064)	('>50', 0.004051359092993323)	('>100', 0.002092172413080026)	('>500', 0.009425771960876768)	('>1k', 0.008627610892249372)	('>5k', 0.0)	('>10k+', 0.39891109956145177)
CHa_47_T0_B_TWS042_10_LPART17_1	(1.0, 47.04725360918153)	(2.0, 25.92738604249938)	(3.0, 13.08170010501026)	(4.0, 6.196809970909671)	(5.0, 3.130650829762068)	(6.0, 1.6244630752088638)	(7.0, 0.8963246752790353)	(8.0, 0.5312334173764653)	(9.0, 0.3061581422274459)	('>10', 1.1523364839441406)	('>50', 0.08741812881209574)	('>100', 0.01717266754547455)	('>500', 0.0)	('>1k', 0.0010928522435335517)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART17_2	(1.0, 47.14351067555007)	(2.0, 25.7950236164579)	(3.0, 12.918900147591597)	(4.0, 6.116758551294339)	(5.0, 3.014345684158571)	(6.0, 1.5630043747491207)	(7.0, 0.8586741420914173)	(8.0, 0.4945469839399661)	(9.0, 0.3194403552326428)	('>10', 1.1381652898316548)	('>50', 0.0509847103651212)	('>100', 0.02414579693656877)	('>500', 0.005250140130547039)	('>1k', 0.018884735820980922)	('>5k', 0.0018506332269797024)	('>10k+', 0.5365141626224692)
CHa_47_T0_B_TWS042_10_LPART18_1	(1.0, 50.24651472524456)	(2.0, 26.05661923607595)	(3.0, 11.952955393267295)	(4.0, 5.465953589600183)	(5.0, 2.5836949584368005)	(6.0, 1.2804654301860814)	(7.0, 0.6623033216238507)	(8.0, 0.4112271876838748)	(9.0, 0.2751780219304185)	('>10', 0.989449696221942)	('>50', 0.058356629847143064)	('>100', 0.01621792988843376)	('>500', 0.0010638799934638823)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART18_2	(1.0, 50.15850394260182)	(2.0, 25.77325990736017)	(3.0, 11.905956740205369)	(4.0, 5.367133117961761)	(5.0, 2.499929263408165)	(6.0, 1.309232049941399)	(7.0, 0.6760532223267602)	(8.0, 0.373853059526654)	(9.0, 0.24959043287578628)	('>10', 0.9624138545505673)	('>50', 0.06600707653785425)	('>100', 0.017092230686291045)	('>500', 0.0032007752055098243)	('>1k', 0.010412889098588942)	('>5k', 0.0)	('>10k+', 0.6273614377132738)
CHa_47_T0_B_TWS042_10_LPART19_1	(1.0, 69.98905643615363)	(2.0, 20.192935574610303)	(3.0, 6.158538337728858)	(4.0, 2.0889928841867267)	(5.0, 0.7630172941004433)	(6.0, 0.3325694648756652)	(7.0, 0.16233948328534273)	(8.0, 0.07618817540657126)	(9.0, 0.051145681740460504)	('>10', 0.18200269186979243)	('>50', 0.0010196942586480882)	('>100', 0.0021942817835577133)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART19_2	(1.0, 69.89655001887633)	(2.0, 19.89910472839174)	(3.0, 6.008585871651551)	(4.0, 1.9830700940117203)	(5.0, 0.7302541684565358)	(6.0, 0.3254548816672534)	(7.0, 0.16826538124239324)	(8.0, 0.08466267878886025)	(9.0, 0.05280972907947106)	('>10', 0.1788578901508793)	('>50', 0.0)	('>100', 0.01648475037109196)	('>500', 0.013635381866874872)	('>1k', 0.004529822444551886)	('>5k', 0.0)	('>10k+', 0.6377346030007714)
CHa_47_T0_B_TWS042_10_LPART1_1	(1.0, 48.9781352412519)	(2.0, 24.5563670335352)	(3.0, 12.30283878883749)	(4.0, 6.075985046313544)	(5.0, 3.0977931969468693)	(6.0, 1.7766217669874862)	(7.0, 0.9794347504963411)	(8.0, 0.5783110010193017)	(9.0, 0.35122185231826647)	('>10', 1.2186189340113707)	('>50', 0.0744411603571325)	('>100', 0.009102008896001757)	('>500', 0.0)	('>1k', 0.0011292190290873813)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART1_2	(1.0, 47.987681145557225)	(2.0, 24.712543232132532)	(3.0, 12.301326380771384)	(4.0, 6.193452606064658)	(5.0, 3.1148968753526054)	(6.0, 1.729447153528694)	(7.0, 0.9855101495110682)	(8.0, 0.6001050354362233)	(9.0, 0.36168676551769396)	('>10', 1.2111184124699375)	('>50', 0.05696436137575645)	('>100', 0.009048623592570896)	('>500', 0.0)	('>1k', 0.0312668854448669)	('>5k', 0.019503535992863343)	('>10k+', 0.6854488372518935)
CHa_47_T0_B_TWS042_10_LPART20_1	(1.0, 50.29869803397406)	(2.0, 25.01658220318939)	(3.0, 11.913857768220243)	(4.0, 5.663910107359806)	(5.0, 2.8167023804722198)	(6.0, 1.4044747539401878)	(7.0, 0.8613675333848017)	(8.0, 0.5062608923296567)	(9.0, 0.3081861343121564)	('>10', 1.143494624016581)	('>50', 0.058324928410812125)	('>100', 0.007081986033691449)	('>500', 0.0010586543565033518)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART20_2	(1.0, 51.053514338680394)	(2.0, 24.40476213840499)	(3.0, 11.564735576738164)	(4.0, 5.4682108691549605)	(5.0, 2.706507713674185)	(6.0, 1.4418754035796078)	(7.0, 0.783654317054923)	(8.0, 0.4783898645739888)	(9.0, 0.2794999875352818)	('>10', 1.1287860366646911)	('>50', 0.06400174222654977)	('>100', 0.010087974866397568)	('>500', 0.0021372036473195364)	('>1k', 0.019930261796423022)	('>5k', 0.001516513972639018)	('>10k+', 0.5923900574293782)
CHa_47_T0_B_TWS042_10_LPART21_1	(1.0, 50.50434304368624)	(2.0, 25.554622639622654)	(3.0, 11.634959454388778)	(4.0, 5.641013579189006)	(5.0, 2.68374308820302)	(6.0, 1.402524652311647)	(7.0, 0.7823686963560392)	(8.0, 0.4832747046550003)	(9.0, 0.27518315576568964)	('>10', 0.9703606790869654)	('>50', 0.05332701357704875)	('>100', 0.013186053762378512)	('>500', 0.0010932393954877567)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART21_2	(1.0, 50.87263978343199)	(2.0, 25.139796686341032)	(3.0, 11.394876672435524)	(4.0, 5.423773940519369)	(5.0, 2.619245249635567)	(6.0, 1.319687508396954)	(7.0, 0.7374272917764827)	(8.0, 0.45124606030172804)	(9.0, 0.3200779153015634)	('>10', 0.9778978507454585)	('>50', 0.03797846016074123)	('>100', 0.015110407243833605)	('>500', 0.005388046461306566)	('>1k', 0.02187897594042396)	('>5k', 0.003848610382768904)	('>10k+', 0.6591265409253245)
CHa_47_T0_B_TWS042_10_LPART22_1	(1.0, 51.85823395242426)	(2.0, 25.147789907001233)	(3.0, 11.557091751012415)	(4.0, 5.219029568554361)	(5.0, 2.5797740975088304)	(6.0, 1.2875186666159648)	(7.0, 0.721364726244055)	(8.0, 0.425258708535772)	(9.0, 0.2661892848924976)	('>10', 0.8823742552901872)	('>50', 0.05233200702448926)	('>100', 0.0030430748959560474)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART22_2	(1.0, 52.43063935425607)	(2.0, 24.78675172358645)	(3.0, 11.188884248136398)	(4.0, 4.99455760242946)	(5.0, 2.461743122349308)	(6.0, 1.2220491454328024)	(7.0, 0.6712514795310329)	(8.0, 0.41572147326588677)	(9.0, 0.25065213487985954)	('>10', 0.896979802546277)	('>50', 0.03701182656728593)	('>100', 0.013110420956892146)	('>500', 0.006423799943398814)	('>1k', 0.018081386074307353)	('>5k', 0.003922859153526158)	('>10k+', 0.6022196208911117)
CHa_47_T0_B_TWS042_10_LPART23_1	(1.0, 45.318186434609174)	(2.0, 24.89918536546868)	(3.0, 13.306542577399355)	(4.0, 6.905789059574668)	(5.0, 3.67869063272269)	(6.0, 1.9575113208954518)	(7.0, 1.1013685988156683)	(8.0, 0.7272968316503946)	(9.0, 0.46822548772474476)	('>10', 1.5306074242117536)	('>50', 0.08640794506067721)	('>100', 0.020188321866710598)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART23_2	(1.0, 45.82643263396752)	(2.0, 24.619111452662434)	(3.0, 12.934059127460687)	(4.0, 6.801937356017309)	(5.0, 3.427061048372477)	(6.0, 1.9412826938069023)	(7.0, 1.0914926985059934)	(8.0, 0.6471894627302051)	(9.0, 0.4652948607630854)	('>10', 1.4991218665046813)	('>50', 0.07690125007986676)	('>100', 0.024116107962354215)	('>500', 0.00319178667359676)	('>1k', 0.014756638856696955)	('>5k', 0.0014491959655668985)	('>10k+', 0.6266018196706056)
CHa_47_T0_B_TWS042_10_LPART24_1	(1.0, 59.430553496444574)	(2.0, 22.866690554108054)	(3.0, 9.12484762277661)	(4.0, 4.119543702098335)	(5.0, 1.918049040083291)	(6.0, 0.9366735577911727)	(7.0, 0.5444852565691429)	(8.0, 0.30732678254934176)	(9.0, 0.1752164541020796)	('>10', 0.5614219752951738)	('>50', 0.012136337536745319)	('>100', 0.0030552206454791883)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART24_2	(1.0, 59.22409656968865)	(2.0, 22.769349469537026)	(3.0, 9.102150575554337)	(4.0, 4.000783023297821)	(5.0, 1.8375736376483498)	(6.0, 0.9333738176764367)	(7.0, 0.47970553475418265)	(8.0, 0.29862341434556494)	(9.0, 0.1592932933404965)	('>10', 0.5831374038004739)	('>50', 0.020116220492841955)	('>100', 0.0031267819639002664)	('>500', 0.00448197663481695)	('>1k', 0.02502650941074279)	('>5k', 0.0028234708814613967)	('>10k+', 0.5563383009729328)
CHa_47_T0_B_TWS042_10_LPART25_1	(1.0, 68.46976467017754)	(2.0, 20.393817378144394)	(3.0, 6.571167014002639)	(4.0, 2.3547468042935003)	(5.0, 0.9852100990635791)	(6.0, 0.41720773920745724)	(7.0, 0.2378433414731923)	(8.0, 0.1275351616533427)	(9.0, 0.0894333965881931)	('>10', 0.32920189119133536)	('>50', 0.021881170716054065)	('>100', 0.0021913334887885124)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART25_2	(1.0, 68.42306608678206)	(2.0, 20.01853155316547)	(3.0, 6.359699144938767)	(4.0, 2.2710301350204762)	(5.0, 0.9219343324786035)	(6.0, 0.41200652572284774)	(7.0, 0.21908360183117154)	(8.0, 0.11858166086705198)	(9.0, 0.08176505513433593)	('>10', 0.344649064394507)	('>50', 0.0238143776544107)	('>100', 0.027745728038752072)	('>500', 0.014433069860668016)	('>1k', 0.0052318322141918115)	('>5k', 0.0)	('>10k+', 0.7584278318966351)
CHa_47_T0_B_TWS042_10_LPART26_1	(1.0, 87.673993187339)	(2.0, 10.216499025181207)	(3.0, 1.5989967537337415)	(4.0, 0.39604653027774056)	(5.0, 0.0848805411928107)	(6.0, 0.016211490991961407)	(7.0, 0.006095751879184984)	(8.0, 0.00407481604663541)	(9.0, 0.0010214542821649064)	('>10', 0.0010242094578030727)	('>50', 0.0011562396177851888)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART26_2	(1.0, 87.24951419421271)	(2.0, 10.13994784656721)	(3.0, 1.5964555458181595)	(4.0, 0.341810237664365)	(5.0, 0.07437724836576957)	(6.0, 0.01713302056035465)	(7.0, 0.005052782136199947)	(8.0, 0.0010132930158863584)	(9.0, 0.0)	('>10', 0.01086021730687127)	('>50', 0.008686631886381047)	('>100', 0.031101149814009816)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.524047832652099)
CHa_47_T0_B_TWS042_10_LPART27_1	(1.0, 65.42803549160857)	(2.0, 21.79162322032665)	(3.0, 7.483025314345074)	(4.0, 2.753285149213966)	(5.0, 1.1287481715201806)	(6.0, 0.5104383876175264)	(7.0, 0.27228721028361186)	(8.0, 0.16320412203481477)	(9.0, 0.0931347263421468)	('>10', 0.36507686848890303)	('>50', 0.011141338218564693)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART27_2	(1.0, 65.38174793586316)	(2.0, 21.480918740744645)	(3.0, 7.306139705521092)	(4.0, 2.6846789895363496)	(5.0, 1.0657316543581623)	(6.0, 0.48325309473902167)	(7.0, 0.2516194361850268)	(8.0, 0.17606872265151227)	(9.0, 0.08456938078901774)	('>10', 0.3886365230180536)	('>50', 0.0140769230811508)	('>100', 0.0020971185724842113)	('>500', 0.01041361302269821)	('>1k', 0.028022636219611284)	('>5k', 0.0029074333831375257)	('>10k+', 0.6391180923148495)
CHa_47_T0_B_TWS042_10_LPART28_1	(1.0, 58.81349721659799)	(2.0, 23.882706198446574)	(3.0, 9.411756940317462)	(4.0, 3.9403544880521806)	(5.0, 1.7298662955351218)	(6.0, 0.8435548857354239)	(7.0, 0.4023278040141561)	(8.0, 0.24323635510494623)	(9.0, 0.16418530246787802)	('>10', 0.5553493451812449)	('>50', 0.011114027278285903)	('>100', 0.002051141268700124)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART28_2	(1.0, 58.78136592829867)	(2.0, 23.70441471994694)	(3.0, 9.22674852142572)	(4.0, 3.9109799730444137)	(5.0, 1.6485077305689342)	(6.0, 0.8238853777561443)	(7.0, 0.43641903841783586)	(8.0, 0.2551160789346044)	(9.0, 0.16545284481508754)	('>10', 0.544849978428148)	('>50', 0.02514004031142914)	('>100', 0.007231166999309134)	('>500', 0.006567874625117013)	('>1k', 0.02663739452419485)	('>5k', 0.002607771281733561)	('>10k+', 0.43407556062177444)
CHa_47_T0_B_TWS042_10_LPART29_1	(1.0, 61.007726774314605)	(2.0, 23.62982695826345)	(3.0, 8.861006748149082)	(4.0, 3.3820334129566754)	(5.0, 1.4842810302354312)	(6.0, 0.666749958842114)	(7.0, 0.3314595486276939)	(8.0, 0.19031363496177656)	(9.0, 0.09718557089411521)	('>10', 0.34128556079206696)	('>50', 0.00813080196295755)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART29_2	(1.0, 61.04171401124806)	(2.0, 23.33646092531749)	(3.0, 8.711017084923812)	(4.0, 3.3331087954311354)	(5.0, 1.4985981540521938)	(6.0, 0.6647785303811018)	(7.0, 0.28512215736622487)	(8.0, 0.19046363858875504)	(9.0, 0.1027376667840154)	('>10', 0.35276365134256155)	('>50', 0.00808963130083226)	('>100', 0.005472391600023022)	('>500', 0.014733604453727452)	('>1k', 0.018078973712045848)	('>5k', 0.0)	('>10k+', 0.4368607834980257)
CHa_47_T0_B_TWS042_10_LPART2_1	(1.0, 64.0071348734295)	(2.0, 21.9604368542791)	(3.0, 7.7300817510502995)	(4.0, 3.1124725909263895)	(5.0, 1.379934064744943)	(6.0, 0.6695896409995858)	(7.0, 0.3253527653429167)	(8.0, 0.21727982467625553)	(9.0, 0.13019417126662444)	('>10', 0.45536513602671363)	('>50', 0.012158327257652238)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART2_2	(1.0, 63.95819861391829)	(2.0, 21.47117196339002)	(3.0, 7.47122280569538)	(4.0, 3.043537070667695)	(5.0, 1.2830016371945774)	(6.0, 0.5990544669205862)	(7.0, 0.3169199915985647)	(8.0, 0.1921719966628875)	(9.0, 0.11988433868114563)	('>10', 0.40885806994960944)	('>50', 0.013025179353845714)	('>100', 0.0010193813259359755)	('>500', 0.018118162315308342)	('>1k', 0.04787638722007659)	('>5k', 0.002758366569734302)	('>10k+', 1.0531815685363506)
CHa_47_T0_B_TWS042_10_LPART30_1	(1.0, 84.27761766817876)	(2.0, 12.032286291179961)	(3.0, 2.586484270920436)	(4.0, 0.6886907961636218)	(5.0, 0.2442958997791535)	(6.0, 0.0825530666983053)	(7.0, 0.04032631312678614)	(8.0, 0.018172300642160043)	(9.0, 0.011120868055085236)	('>10', 0.017325535290275976)	('>50', 0.001126989965426589)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
CHa_47_T0_B_TWS042_10_LPART30_2	(1.0, 84.11014676756055)	(2.0, 11.848384586898531)	(3.0, 2.5395186840165405)	(4.0, 0.6617636324814696)	(5.0, 0.2362475018366968)	(6.0, 0.07718909953311624)	(7.0, 0.04316616291538786)	(8.0, 0.01608438374148908)	(9.0, 0.008053480224592456)	('>10', 0.01641809854041212)	('>50', 0.002196457545258812)	('>100', 0.014048172123126184)	('>500', 0.004350733567048611)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.42243223901578636)
CHa_47_T0_B_TWS042_10_LPART31_1	(1.0, 84.76462631801866)	(2.0, 11.788470464928087)	(3.0, 2.3569298874145876)	(4.0, 0.6161933606837936)	(5.0, 0.24965649538805584)	(6.0, 0.07625330446039091)	(7.0, 0.04718939595420707)	(8.0, 0.029137076354880095)	(9.0, 0.014075938275400957)	('>10', 0.057467758521984644)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
