Sample	qualimap_raw_bamqc-avg_gc	qualimap_raw_bamqc-median_insert_size	qualimap_raw_bamqc-1_x_pc	qualimap_raw_bamqc-5_x_pc	qualimap_raw_bamqc-10_x_pc	qualimap_raw_bamqc-30_x_pc	qualimap_raw_bamqc-50_x_pc	qualimap_raw_bamqc-median_coverage	qualimap_raw_bamqc-mean_coverage	qualimap_raw_bamqc-percentage_aligned_on_target	qualimap_raw_bamqc-regions_size	qualimap_raw_bamqc-regions_mapped_reads	qualimap_raw_bamqc-general_error_rate	qualimap_raw_bamqc-percentage_aligned	qualimap_raw_bamqc-mapped_reads	qualimap_raw_bamqc-mapped_paired_reads	qualimap_raw_bamqc-total_reads	qualimap_raw_bamqc-ns	qualimap_raw_bamqc-duplication_rate	qualimap_all_molecules_bamqc-avg_gc	qualimap_all_molecules_bamqc-median_insert_size	qualimap_all_molecules_bamqc-1_x_pc	qualimap_all_molecules_bamqc-5_x_pc	qualimap_all_molecules_bamqc-10_x_pc	qualimap_all_molecules_bamqc-30_x_pc	qualimap_all_molecules_bamqc-50_x_pc	qualimap_all_molecules_bamqc-median_coverage	qualimap_all_molecules_bamqc-mean_coverage	qualimap_all_molecules_bamqc-percentage_aligned_on_target	qualimap_all_molecules_bamqc-regions_size	qualimap_all_molecules_bamqc-regions_mapped_reads	qualimap_all_molecules_bamqc-general_error_rate	qualimap_all_molecules_bamqc-percentage_aligned	qualimap_all_molecules_bamqc-mapped_reads	qualimap_all_molecules_bamqc-mapped_paired_reads	qualimap_all_molecules_bamqc-total_reads	qualimap_all_molecules_bamqc-ns	qualimap_all_molecules_bamqc-duplication_rate	qualimap_duplex_bamqc-avg_gc	qualimap_duplex_bamqc-median_insert_size	qualimap_duplex_bamqc-1_x_pc	qualimap_duplex_bamqc-5_x_pc	qualimap_duplex_bamqc-10_x_pc	qualimap_duplex_bamqc-30_x_pc	qualimap_duplex_bamqc-50_x_pc	qualimap_duplex_bamqc-median_coverage	qualimap_duplex_bamqc-mean_coverage	qualimap_duplex_bamqc-percentage_aligned_on_target	qualimap_duplex_bamqc-regions_size	qualimap_duplex_bamqc-regions_mapped_reads	qualimap_duplex_bamqc-general_error_rate	qualimap_duplex_bamqc-percentage_aligned	qualimap_duplex_bamqc-mapped_reads	qualimap_duplex_bamqc-mapped_paired_reads	qualimap_duplex_bamqc-total_reads	qualimap_duplex_bamqc-ns	qualimap_duplex_bamqc-duplication_rate	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
CHa_47_T0_B_TWS042_10_LPART36_2																																																										21.18591418366718	51.0	150.0	150	9.090909090909092	339.605658
CHa_47_T0_B_TWS042_10_LPART37	52.034550029827976	210	99.6747275008211	99.61368873951608	99.50813836745037	97.0455921071218	91.26603736237224	310	472.7456	87.85463237759859	120595501	454.200177	0.24	99.93646515331184	516.990584	453.978685	517.319262	1997356739	79.16																																												
CHa_47_T0_B_TWS042_10_LPART37_1																																																										18.01672270640688	51.0	150.0	150	18.181818181818183	258.659631
CHa_47_T0_B_TWS042_10_LPART37_2																																																										18.276016589538514	51.0	150.0	150	18.181818181818183	258.659631
CHa_47_T0_B_TWS042_10_LPART38	52.006818586138486	212	99.6757673406075	99.61646993779644	99.51797953059625	97.21988302034585	91.66053466621446	312	474.0001	87.81568336752929	120595501	455.299801	0.22	99.93655354433403	518.472081	455.078058	518.801242	1996381042	79.33																																												
CHa_47_T0_B_TWS042_10_LPART38_1																																																										17.829683571074924	51.0	150.0	150	9.090909090909092	259.400621
CHa_47_T0_B_TWS042_10_LPART38_2																																																										18.078221289843228	51.0	150.0	150	9.090909090909092	259.400621
CHa_47_T0_B_TWS042_10_LPART39	52.00944050597167	222	99.68369300941002	99.6472820325196	99.61481564722718	99.32541513302391	98.18035251580405	546	817.8297	87.54834931441418	120595501	785.2084679999999	0.19	99.93107641605991	896.8855199999999	784.86543	897.504112	3479684128	85.92																																												
CHa_47_T0_B_TWS042_10_LPART39_1																																																										26.84982204471548	51.0	150.0	150	9.090909090909092	448.752056
CHa_47_T0_B_TWS042_10_LPART39_2																																																										27.141204201809856	51.0	150.0	150	9.090909090909092	448.752056
CHa_47_T0_B_TWS042_10_LPART3_1																																																										23.984250066606023	51.0	150.0	150	18.181818181818183	292.71752599999996
CHa_47_T0_B_TWS042_10_LPART3_2																																																										24.456998257344324	51.0	150.0	150	18.181818181818183	292.71752599999996
CHa_47_T0_B_TWS042_10_LPART4	51.92549081537532	214	99.69003901729303	99.65971616138482	99.63251365405414	99.50073261854105	98.99920395869495	728	1101.2095	87.66533417026628	120595501	1059.033212	0.22999999999999998	99.92408864390275	1208.041037	1058.498506	1208.958774	4642642420	87.22																																												
CHa_47_T0_B_TWS042_10_LPART40	52.00143804715515	220	99.69208884500591	99.66469230058591	99.64008690506621	99.56516619969098	99.36979241041504	900	1354.5185	87.50813698192876	120595501	1302.1555879999999	0.2	99.92423123637863	1488.039436	1301.533774	1489.16776	5753412138	89.12																																												
CHa_47_T0_B_TWS042_10_LPART40_1																																																										33.905003146044564	51.0	150.0	150	9.090909090909092	744.58388
CHa_47_T0_B_TWS042_10_LPART40_2																																																										34.02671592993035	51.0	150.0	150	9.090909090909092	744.58388
CHa_47_T0_B_TWS042_10_LPART41	52.08065984706244	221	99.69104651756453	99.66381664602895	99.63858684910642	99.54817966219154	99.27972022770568	823	1238.6954	87.48947917058614	120595501	1190.88887	0.2	99.92043631116199	1361.179517	1190.314185	1362.2633839999999	5262795630	88.63																																												
CHa_47_T0_B_TWS042_10_LPART41_1																																																										31.72898563535938	51.0	150.0	150	9.090909090909092	681.1316919999999
CHa_47_T0_B_TWS042_10_LPART41_2																																																										31.91354984299373	51.0	150.0	150	9.090909090909092	681.1316919999999
CHa_47_T0_B_TWS042_10_LPART4_1																																																										32.350654310128334	51.0	150.0	150	9.090909090909092	604.479387
CHa_47_T0_B_TWS042_10_LPART4_2																																																										32.62949106721102	51.0	150.0	150	9.090909090909092	604.479387
CHa_47_T0_B_TWS042_10_LPART5	51.928011174380664	215	99.69238985125988	99.66504305993969	99.6377833365442	99.54875348127622	99.27788765519536	857	1292.6672	87.67246318830914	120595501	1242.742833	0.35000000000000003	99.90656348499448	1417.483652	1242.035275	1418.809338	5592607813	88.37																																												
CHa_47_T0_B_TWS042_10_LPART5_1																																																										32.450813125982705	51.0	150.0	150	18.181818181818183	709.404669
CHa_47_T0_B_TWS042_10_LPART5_2																																																										33.30315714080369	51.0	150.0	150	18.181818181818183	709.404669
CHa_47_T0_B_TWS042_10_LPART6	52.14960921914465	210	99.69133840241685	99.66520807438745	99.63867142937613	99.5456223528604	99.2543801447452	889	1361.6864	87.66448834876236	120595501	1309.670586	0.2	99.9006915037013	1493.957942	1308.963462	1495.4430439999999	5724740726	88.26																																												
CHa_47_T0_B_TWS042_10_LPART6_1																																																										34.89464246601193	51.0	150.0	150	18.181818181818183	747.7215219999999
CHa_47_T0_B_TWS042_10_LPART6_2																																																										34.893429313842944	51.0	150.0	150	9.090909090909092	747.7215219999999
CHa_47_T0_B_TWS042_10_LPART7	52.27992141155341	205	99.69223727508707	99.6618688121707	99.63349213168408	99.50093660625035	98.99272112978743	801	1237.7004	87.73594639213987	120595501	1191.1347799999999	0.26	99.88041763168646	1357.635985	1190.3962	1359.261422	5233465427	87.17																																												
CHa_47_T0_B_TWS042_10_LPART7_1																																																										31.509751136060828	51.0	150.0	150	18.181818181818183	679.630711
CHa_47_T0_B_TWS042_10_LPART7_2																																																										32.210584466825054	51.0	150.0	150	27.27272727272727	679.630711
CHa_47_T0_B_TWS042_10_LPART8	51.63402495023309	234	98.60123969301308	92.15393947407706	81.2674943819007	52.83508047286109	38.09993624886554	33	48.2852	87.31454890422884	120595501	46.283029	0.24	99.93871387986766	53.007236	46.25984	53.039742	209377445	46.67																																												
CHa_47_T0_B_TWS042_10_LPART8_1																																																										12.936261883012847	50.0	150.0	150	18.181818181818183	26.519871
CHa_47_T0_B_TWS042_10_LPART8_2																																																										13.55252525549129	51.0	150.0	150	18.181818181818183	26.519871
CHa_47_T0_B_TWS042_10_LPART9	52.12982967343495	214	99.69049508737477	99.66187793357233	99.63518705395154	99.52262315324683	99.13393949911946	788	1197.2541	87.68836003060495	120595501	1151.236461	0.21	99.90315454463065	1312.87261	1150.618461	1314.1453	5062934218	87.85																																												
CHa_47_T0_B_TWS042_10_LPART9_1																																																										32.36075250579198	51.0	150.0	150	9.090909090909092	657.07265
CHa_47_T0_B_TWS042_10_LPART9_2																																																										32.014108804767034	51.0	150.0	150	9.090909090909092	657.07265
