Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CHa_47_T0_B_TWS042_10_LPART15_1	(1, 39.082302592707755)	(2, 39.141247390994344)	(3, 39.337927624079605)	(4, 39.36180585899959)	(5, 39.3388674344563)	(6, 39.42969373034448)	(7, 39.1858051747642)	(8, 39.10959918230178)	(9, 39.40822505856459)	(10, 39.33817381591207)	(15, 39.421221553070424)	(20, 39.471915679656384)	(25, 39.486608870053054)	(30, 39.403549620597566)	(35, 39.363792230992274)	(40, 39.378114198139556)	(45, 39.34578243351704)	(50, 39.349202643188356)	(55, 39.332595865198)	(60, 39.32456139890095)	(65, 39.33903845787014)	(70, 39.32126789039275)	(75, 39.295627841344604)	(80, 39.2753850772164)	(85, 39.25016470887007)	(90, 39.222924175752176)	(95, 39.19681109120778)	(100, 39.17283910805726)	(105, 39.14778514055113)	(110, 39.108249839624946)	(115, 39.08799797705833)	(120, 39.03819146667123)	(125, 38.976950585200505)	(130, 38.93759801953428)	(135, 38.85099850155197)	(140, 38.75997480324371)	(145, 38.67271744503939)	(150, 38.61871273762945)
CHa_47_T0_B_TWS042_10_LPART15_2	(1, 38.35303808131937)	(2, 38.335773032926674)	(3, 38.7669789652602)	(4, 38.86728642950537)	(5, 39.025549839858996)	(6, 39.099452794762435)	(7, 38.970731779549524)	(8, 39.02012776797306)	(9, 39.291262907791726)	(10, 39.14892284880126)	(15, 39.213880885595465)	(20, 39.2274832772912)	(25, 39.20295133237775)	(30, 39.18308050577234)	(35, 39.174074169474)	(40, 39.14386957262973)	(45, 39.117849650723564)	(50, 39.10667466905697)	(55, 39.06392791962965)	(60, 39.05386806671882)	(65, 39.00916880521568)	(70, 38.97459428547263)	(75, 38.944564518392184)	(80, 38.93361145445156)	(85, 38.8776853459557)	(90, 38.83396077424864)	(95, 38.80110510033212)	(100, 38.7632357274565)	(105, 38.740868377875344)	(110, 38.66604237408706)	(115, 38.61286364959668)	(120, 38.57675229817549)	(125, 38.52417567882294)	(130, 38.459770642578675)	(135, 38.37695720823705)	(140, 38.28919705065751)	(145, 38.21132386198286)	(150, 38.18371383628329)
CHa_47_T0_B_TWS042_10_LPART16_1	(1, 39.21615707863005)	(2, 39.25617327635831)	(3, 39.39588615398029)	(4, 39.36041705849141)	(5, 39.39201510408246)	(6, 39.607334743400486)	(7, 39.532783222259496)	(8, 39.51925602259691)	(9, 39.62524252930774)	(10, 39.56770680232022)	(15, 39.59838454114688)	(20, 39.612169861077405)	(25, 39.6021642794305)	(30, 39.573264351303266)	(35, 39.55324227172785)	(40, 39.5442541426622)	(45, 39.52228187122606)	(50, 39.52656590396378)	(55, 39.50661569665107)	(60, 39.490061057213154)	(65, 39.48011424309708)	(70, 39.46322111302952)	(75, 39.440256709511594)	(80, 39.419931508098884)	(85, 39.401138543500046)	(90, 39.378120775156674)	(95, 39.36333177160288)	(100, 39.339831035957474)	(105, 39.31400494654685)	(110, 39.27679604308214)	(115, 39.27254496295184)	(120, 39.23575516519336)	(125, 39.193876531361454)	(130, 39.135393611933644)	(135, 39.06545303065578)	(140, 38.98796137202487)	(145, 38.889528790349296)	(150, 38.82398017805425)
CHa_47_T0_B_TWS042_10_LPART16_2	(1, 38.926185235474925)	(2, 39.03149717311606)	(3, 39.25159060056514)	(4, 39.29618035970561)	(5, 39.43962846546931)	(6, 39.50063590162056)	(7, 39.48276827891976)	(8, 39.502913757724585)	(9, 39.61725228362314)	(10, 39.52965344671404)	(15, 39.55720695853072)	(20, 39.5573730330398)	(25, 39.54159011947565)	(30, 39.537164908222906)	(35, 39.5192806139459)	(40, 39.495139142811794)	(45, 39.4974772437255)	(50, 39.4712844086048)	(55, 39.46072467059716)	(60, 39.443649727357396)	(65, 39.42951522525379)	(70, 39.41094803261142)	(75, 39.38614471957939)	(80, 39.35704283874422)	(85, 39.32545602606587)	(90, 39.31333519186798)	(95, 39.28598739937081)	(100, 39.245579644839495)	(105, 39.20235129354316)	(110, 39.17673296007921)	(115, 39.12790607155463)	(120, 39.0740792593661)	(125, 39.00139416767615)	(130, 38.940082018541425)	(135, 38.842998779766674)	(140, 38.76635102691381)	(145, 38.66163164689268)	(150, 38.58913746977103)
CHa_47_T0_B_TWS042_10_LPART17_1	(1, 39.31756299299069)	(2, 39.337246541996265)	(3, 39.492791793748644)	(4, 39.501412397551164)	(5, 39.57741143148867)	(6, 39.63815407430176)	(7, 39.61926558613693)	(8, 39.61216171163393)	(9, 39.67716753981978)	(10, 39.631927681080384)	(15, 39.687961157203794)	(20, 39.70241724358508)	(25, 39.68521464550217)	(30, 39.66431693397432)	(35, 39.65932937574748)	(40, 39.65000575981999)	(45, 39.6396956309772)	(50, 39.61832148515782)	(55, 39.60662739627931)	(60, 39.5932358226519)	(65, 39.58050090102435)	(70, 39.563255730396136)	(75, 39.54304138133621)	(80, 39.52653034477454)	(85, 39.5066586160698)	(90, 39.4816207588859)	(95, 39.468177566111486)	(100, 39.4473508047369)	(105, 39.41864636519328)	(110, 39.40021195298851)	(115, 39.38139563623395)	(120, 39.35290178179113)	(125, 39.30045327804933)	(130, 39.24471486885584)	(135, 39.17058966535473)	(140, 39.06705552932891)	(145, 38.989541928467034)	(150, 38.91446380760106)
CHa_47_T0_B_TWS042_10_LPART17_2	(1, 38.95408153430638)	(2, 39.01578343868765)	(3, 39.24086076492355)	(4, 39.29086466190584)	(5, 39.439967911379725)	(6, 39.49388997936212)	(7, 39.49353584906626)	(8, 39.51044309665712)	(9, 39.59849579450412)	(10, 39.547175149126645)	(15, 39.574875460385144)	(20, 39.560074783262756)	(25, 39.55622873432055)	(30, 39.55043660365503)	(35, 39.53304950704565)	(40, 39.51671025264703)	(45, 39.510375555240095)	(50, 39.49700212730645)	(55, 39.47580542405219)	(60, 39.45655032885803)	(65, 39.43021453109313)	(70, 39.42763683727484)	(75, 39.40907842483659)	(80, 39.38464823614987)	(85, 39.35868662713519)	(90, 39.32930526375258)	(95, 39.29861853668028)	(100, 39.25081241646881)	(105, 39.20803640791614)	(110, 39.18627965719987)	(115, 39.147934258626215)	(120, 39.08348208063817)	(125, 39.01586813618373)	(130, 38.940119880709126)	(135, 38.863093152591176)	(140, 38.78146845863894)	(145, 38.67656175099144)	(150, 38.60159015762599)
CHa_47_T0_B_TWS042_10_LPART18_1	(1, 39.21307201166677)	(2, 39.27877439507856)	(3, 39.44468857582987)	(4, 39.428871692176514)	(5, 39.50870167862226)	(6, 39.58710452953269)	(7, 39.56494531722378)	(8, 39.52593797635884)	(9, 39.633183385714965)	(10, 39.56290678449461)	(15, 39.64781291136159)	(20, 39.66406609157623)	(25, 39.64338956300723)	(30, 39.624197216218086)	(35, 39.6174290612971)	(40, 39.60935020374091)	(45, 39.59592694473163)	(50, 39.584252072433664)	(55, 39.546984279674454)	(60, 39.53374287318984)	(65, 39.52665246590566)	(70, 39.51068380887299)	(75, 39.49224802461756)	(80, 39.47326687119089)	(85, 39.44942413406865)	(90, 39.42875802376369)	(95, 39.406444535447584)	(100, 39.38783055347682)	(105, 39.36363339439169)	(110, 39.34520792093592)	(115, 39.329157986140274)	(120, 39.29215022318516)	(125, 39.2364209013087)	(130, 39.17556632132556)	(135, 39.0955143359054)	(140, 39.006909303609426)	(145, 38.90727537423554)	(150, 38.82603713639953)
CHa_47_T0_B_TWS042_10_LPART18_2	(1, 38.833092804120845)	(2, 38.891744660077705)	(3, 39.15528039280872)	(4, 39.20340933958279)	(5, 39.36957438165775)	(6, 39.43139656620275)	(7, 39.417873744501414)	(8, 39.44620545262863)	(9, 39.552055603582765)	(10, 39.494979559457775)	(15, 39.530759213639286)	(20, 39.52683151347385)	(25, 39.50914890356332)	(30, 39.510799850004204)	(35, 39.48734263354153)	(40, 39.46933376005763)	(45, 39.46907162041479)	(50, 39.44652830522802)	(55, 39.42762041904662)	(60, 39.4115991949258)	(65, 39.393035105676326)	(70, 39.37743772075004)	(75, 39.35937238051311)	(80, 39.33425829652599)	(85, 39.30778633099817)	(90, 39.27991162230997)	(95, 39.244066935171645)	(100, 39.19402091728959)	(105, 39.16216696429994)	(110, 39.13409655752534)	(115, 39.09541999373796)	(120, 39.01827519845644)	(125, 38.96202740377187)	(130, 38.88136381065009)	(135, 38.80502273368256)	(140, 38.72949619186349)	(145, 38.62471925745593)	(150, 38.549628811212514)
CHa_47_T0_B_TWS042_10_LPART19_1	(1, 39.40948979346085)	(2, 39.353834374948896)	(3, 39.488572834614686)	(4, 39.51604038650848)	(5, 39.55276550255467)	(6, 39.67591893506161)	(7, 39.59971285306823)	(8, 39.595901225775684)	(9, 39.68383971609246)	(10, 39.668033155937614)	(15, 39.70134084227804)	(20, 39.71531346477748)	(25, 39.711200017700584)	(30, 39.680691144079915)	(35, 39.66853491093415)	(40, 39.66408600886816)	(45, 39.64855755723954)	(50, 39.64196599512026)	(55, 39.632545381356856)	(60, 39.620779888092684)	(65, 39.6163188315915)	(70, 39.602825707830775)	(75, 39.58744578268356)	(80, 39.57545349236798)	(85, 39.55545718399934)	(90, 39.53943815797014)	(95, 39.528438080600466)	(100, 39.50862274765122)	(105, 39.48791186905807)	(110, 39.460687508242756)	(115, 39.43112518589644)	(120, 39.4045291049583)	(125, 39.36710695675184)	(130, 39.31788102458741)	(135, 39.26318742141623)	(140, 39.19180402300288)	(145, 39.083106669795576)	(150, 39.019166116168094)
CHa_47_T0_B_TWS042_10_LPART19_2	(1, 38.863322026219336)	(2, 38.988221343909935)	(3, 39.24318469287478)	(4, 39.31137511809241)	(5, 39.43990772636381)	(6, 39.48856983375656)	(7, 39.46620481561845)	(8, 39.494686248061505)	(9, 39.60053885686424)	(10, 39.53609651624813)	(15, 39.56567931225296)	(20, 39.566969814336076)	(25, 39.566861057862766)	(30, 39.55595649607981)	(35, 39.542712617580854)	(40, 39.53184582949951)	(45, 39.51789512542141)	(50, 39.50201943035804)	(55, 39.48924034319374)	(60, 39.46800071851677)	(65, 39.45458535985101)	(70, 39.43712089788133)	(75, 39.41621957420984)	(80, 39.39350208768869)	(85, 39.37507915547125)	(90, 39.35017899830818)	(95, 39.32415059398947)	(100, 39.29593316156055)	(105, 39.25790720102809)	(110, 39.22915611876765)	(115, 39.1875429465028)	(120, 39.13786436336238)	(125, 39.07615308005647)	(130, 39.01632733252991)	(135, 38.93866201192834)	(140, 38.8520291393178)	(145, 38.7576556254624)	(150, 38.705578092348475)
