Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
CHa_47_T0_B_TWS042_10_LPART15_1	(1, 0.00047214156660407364)	(2, 0.08614951764833316)	(3, 0.00393347697523012)	(4, 0.0456528880040201)	(5, 0.0004671683835457029)	(6, 0.006702296642978038)	(7, 0.0004435457640184418)	(8, 0.0)	(9, 0.0)	(10, 0.00013464893130538824)	(15, 0.00013290831723495846)	(20, 0.00019202703084134084)	(25, 0.0011534676456008673)	(30, 0.0003946842404699492)	(35, 0.0006302887878602637)	(40, 2.424426740955744e-05)	(45, 8.435761762761396e-05)	(50, 0.000695188826772002)	(55, 0.0003580070154144648)	(60, 0.0005668185390778069)	(65, 0.00042346653742026985)	(70, 0.0023464099317275526)	(75, 0.000730063272968827)	(80, 0.0010357275366939395)	(85, 0.0009028813842472108)	(90, 0.0010158969692486862)	(95, 0.0012690319869197576)	(100, 0.00010027180341440039)	(105, 0.0001850024097713921)	(110, 0.0006572061411636954)	(115, 0.00011345073851908288)	(120, 0.0022139367680102016)	(125, 0.0005819867474058378)	(130, 0.0002729655851163249)	(135, 0.0015176911398382955)	(140, 0.001655323980978706)	(145, 0.0006372512441419828)	(150, 0.0009094708517995521)
CHa_47_T0_B_TWS042_10_LPART15_2	(1, 0.06864080504345663)	(2, 0.08293963880809599)	(3, 0.0)	(4, 0.0023053811714959936)	(5, 0.0009169306263871082)	(6, 0.00033879809585150774)	(7, 1.2432957645926892e-05)	(8, 0.0017160589790790588)	(9, 0.0)	(10, 0.017336391811904)	(15, 0.0013984590760138568)	(20, 0.0009376315008675765)	(25, 0.000679896288867512)	(30, 0.000489423377731912)	(35, 0.0020360211440969872)	(40, 0.0008045366892679292)	(45, 0.0011764064524576023)	(50, 0.0006394891765182496)	(55, 0.0010449279253519255)	(60, 0.0002758873301631177)	(65, 0.0006952509915602317)	(70, 0.0001682179169493908)	(75, 0.0015138990877562879)	(80, 0.0019031749916502588)	(85, 0.00019463795194698549)	(90, 0.0005132946564120916)	(95, 0.0005119270310710397)	(100, 0.0008210103581487823)	(105, 0.0006790881466205267)	(110, 0.00116832502998775)	(115, 0.0007223548392283523)	(120, 0.0006420379328356646)	(125, 0.00036223422101407994)	(130, 0.000701840459112573)	(135, 0.000726830703980886)	(140, 0.00029248532862043006)	(145, 0.0013357969694783851)	(150, 0.0003226352509118028)
CHa_47_T0_B_TWS042_10_LPART16_1	(1, 0.000639255213339766)	(2, 0.0869392084323436)	(3, 0.0)	(4, 0.04273670810244047)	(5, 0.0013074766785339902)	(6, 0.0)	(7, 2.497090677108461e-06)	(8, 0.0)	(9, 0.002529552855910871)	(10, 0.0008013663400976473)	(15, 2.796741558361476e-05)	(20, 3.675717476703655e-05)	(25, 0.002318798402762917)	(30, 0.0009422022542865646)	(35, 0.0021327152055047945)	(40, 0.0050061673894670426)	(45, 0.045071587769163965)	(50, 0.003308545263541627)	(55, 0.0036866047920558476)	(60, 0.004311576646722553)	(65, 0.002544535399973522)	(70, 0.002238691733841278)	(75, 0.00376171727962327)	(80, 0.004095927895847467)	(85, 0.0018873011337585748)	(90, 0.004883010877272054)	(95, 0.002380526484301038)	(100, 0.004331053954004)	(105, 0.002761582521627789)	(110, 0.03551751907129282)	(115, 4.684542110255473e-05)	(120, 0.0007619123073993336)	(125, 0.0005025145278613067)	(130, 0.0008324301481208766)	(135, 0.0012733164780711465)	(140, 0.0005402705388991867)	(145, 0.003728655799058354)	(150, 0.0028471827900390673)
CHa_47_T0_B_TWS042_10_LPART16_2	(1, 0.12289232000135122)	(2, 0.10414416319762089)	(3, 0.003973870103550405)	(4, 5.993017625060306e-06)	(5, 0.0)	(6, 0.002256870553970627)	(7, 0.00010387897216771198)	(8, 0.0007206603694135019)	(9, 0.0)	(10, 0.0003273186459553771)	(15, 0.0003646751224849197)	(20, 0.00035818268672443764)	(25, 0.0017844209978617061)	(30, 0.0012471469677750497)	(35, 0.0016545722826520662)	(40, 0.0011315816112384702)	(45, 0.0013917784597931718)	(50, 0.006122766456642862)	(55, 0.0005005168553196199)	(60, 4.484774856086796e-05)	(65, 0.0009980372018267097)	(70, 9.279188956135042e-05)	(75, 0.0005568512209951868)	(80, 0.0011464642716740366)	(85, 0.041332843723770094)	(90, 0.0019225600541193464)	(95, 0.0010687548098024212)	(100, 0.003972471732771225)	(105, 0.0020749824690500466)	(110, 0.0012104896766350977)	(115, 0.004229971723394649)	(120, 0.0004082243838936912)	(125, 0.003701687219745583)	(130, 0.0016732505209168375)	(135, 0.000548061461811765)	(140, 0.00043279575615643844)	(145, 0.0006836035437652123)	(150, 9.988362708433844e-06)
CHa_47_T0_B_TWS042_10_LPART17_1	(1, 0.0)	(2, 0.04473877165948562)	(3, 0.009747234063294415)	(4, 0.012339944692662575)	(5, 0.0)	(6, 0.0)	(7, 0.00850301252948914)	(8, 0.01822343085870636)	(9, 3.237857252938177e-05)	(10, 0.01718403588944819)	(15, 0.008458623931378376)	(20, 0.00046305637823517603)	(25, 0.0013276641105880416)	(30, 0.0017957413071185229)	(35, 0.002692527920364025)	(40, 0.00226159336826813)	(45, 0.001750268668693999)	(50, 0.025744302863929813)	(55, 0.0019821106589550433)	(60, 0.0007128991431799563)	(65, 0.0023450929998042537)	(70, 0.0017219409836528748)	(75, 0.0024643659616944255)	(80, 0.0006855984436992352)	(85, 0.0012466463608228927)	(90, 0.011064057770744866)	(95, 0.002238857049055868)	(100, 0.006650187941638202)	(105, 0.009090619434299896)	(110, 0.0009260557017169964)	(115, 0.017785792373091164)	(120, 0.0006319955029215186)	(125, 0.0023455494378310997)	(130, 0.0029525549587828045)	(135, 0.002374276506145714)	(140, 0.07179442097454374)	(145, 0.002155842382923268)	(150, 0.0)
CHa_47_T0_B_TWS042_10_LPART17_2	(1, 0.0965357868566097)	(2, 0.02305482737287032)	(3, 0.01778453716851734)	(4, 0.010810592028961997)	(5, 0.002478458485773293)	(6, 0.005215089730481304)	(7, 0.00021909025288603697)	(8, 0.0003032460140857517)	(9, 0.0)	(10, 0.0008002214431909145)	(15, 0.001256402723646724)	(20, 0.03419314190510768)	(25, 0.0005590510007562065)	(30, 0.004914439707673238)	(35, 0.0046582068103526155)	(40, 0.0014168977448364172)	(45, 0.011494649994320627)	(50, 4.958058066613701e-05)	(55, 0.0008418714131406038)	(60, 0.01823050564812247)	(65, 0.04410954331210186)	(70, 0.0029730661426141925)	(75, 0.0009310194652589456)	(80, 0.00024348115994561527)	(85, 0.0016507081240882348)	(90, 0.001528753588790343)	(95, 0.0010769655243429255)	(100, 0.008899371901051459)	(105, 0.04104821346604634)	(110, 0.003376528830969299)	(115, 0.014228742302504309)	(120, 0.0022837876673235122)	(125, 0.00286223728422067)	(130, 0.0057075578340713634)	(135, 0.00024790290333068503)	(140, 0.0005507495341429466)	(145, 0.010055187094532016)	(150, 0.0015293526637005785)
CHa_47_T0_B_TWS042_10_LPART18_1	(1, 9.046052665139194e-05)	(2, 0.047884225543693947)	(3, 0.025328777423805814)	(4, 0.015032601089604525)	(5, 0.0018381170922961408)	(6, 0.0)	(7, 5.4922462609773676e-05)	(8, 0.009533043169518116)	(9, 0.000700558965796494)	(10, 0.0)	(15, 0.00032443361814070643)	(20, 0.0014567885639720588)	(25, 0.0005418789592719095)	(30, 0.0026504594231689976)	(35, 0.0012681817666755854)	(40, 0.0022058085261889415)	(45, 0.0008513831897434576)	(50, 0.005651436383253746)	(55, 0.0029401371547541693)	(60, 0.002144152535655493)	(65, 0.0014179177436853894)	(70, 0.0017531658157641191)	(75, 0.0020817483753527467)	(80, 0.001594247755222031)	(85, 0.0013114395824276794)	(90, 0.0026919828453649936)	(95, 0.0034305624385285016)	(100, 0.003127791735980628)	(105, 0.0026031546891193413)	(110, 0.0009823128993704724)	(115, 0.0014700175658019052)	(120, 0.0018040413600763309)	(125, 0.0018972905195041943)	(130, 0.0015600699998518626)	(135, 4.1795483930285976e-05)	(140, 0.022429041436593695)	(145, 0.0032836831097287416)	(150, 0.002539016135260497)
CHa_47_T0_B_TWS042_10_LPART18_2	(1, 0.06633732278765825)	(2, 0.01195711322204113)	(3, 0.014808150158815358)	(4, 0.005089254817060452)	(5, 0.0004939620863201007)	(6, 0.00026202945783796046)	(7, 0.002251480889832858)	(8, 0.0008753586300777551)	(9, 3.417775537016876e-05)	(10, 0.0015462628668366498)	(15, 0.0003036889109011015)	(20, 0.004416718209895819)	(25, 0.0008477443640473303)	(30, 0.0026846031708223804)	(35, 0.005933904478880235)	(40, 0.0004545471425648514)	(45, 0.0026384887068602422)	(50, 0.002726942778221246)	(55, 0.001591799199613422)	(60, 0.0013863245747909746)	(65, 0.008662513635224007)	(70, 0.0019907097175159887)	(75, 0.00010093490342155311)	(80, 0.0013296677186251029)	(85, 0.0009670774422502378)	(90, 0.00044410677351147643)	(95, 0.0012518580626181912)	(100, 0.001246960951400973)	(105, 0.01020955867954674)	(110, 0.0037265996131526993)	(115, 0.010864343258548959)	(120, 0.022089440376766325)	(125, 0.0018832113247546918)	(130, 0.0065753580329022485)	(135, 0.0011667367475022387)	(140, 0.00043849550024174723)	(145, 0.007851429589872241)	(150, 0.0037246951810126702)
CHa_47_T0_B_TWS042_10_LPART19_1	(1, 0.00013244725649520705)	(2, 0.0456744683944631)	(3, 0.0)	(4, 0.0003013654966630074)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 4.158971822313265e-05)	(10, 0.0)	(15, 0.0)	(20, 0.00015484172015381694)	(25, 0.00010263062773831504)	(30, 5.937732078625707e-05)	(35, 2.1882590203555948e-05)	(40, 0.00019553565983060518)	(45, 1.510026692409124e-05)	(50, 4.54287691360372e-05)	(55, 0.00011376387538573824)	(60, 9.136941172712834e-05)	(65, 6.142481460647284e-05)	(70, 7.678101825809104e-07)	(75, 8.548286699400803e-05)	(80, 9.981532373551837e-06)	(85, 0.000407067365131646)	(90, 0.0001887533365511405)	(95, 0.00014537206123531904)	(100, 0.00019604753328565912)	(105, 5.681795351098737e-05)	(110, 0.0009446624613020469)	(115, 0.0005391307165355627)	(120, 1.1517152738713658e-06)	(125, 0.00021741825003416117)	(130, 1.0237469101078808e-06)	(135, 1.663588728925306e-06)	(140, 1.3564646558929418e-05)	(145, 0.04355966321490774)	(150, 0.00038390509129045526)
CHa_47_T0_B_TWS042_10_LPART19_2	(1, 0.1189728276327309)	(2, 0.014880161338418045)	(3, 0.0005700990605663261)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00012259369248541872)	(15, 1.305277310387548e-05)	(20, 5.784170042109526e-05)	(25, 0.00010595780519616565)	(30, 9.316096881981715e-05)	(35, 0.00013167944631262615)	(40, 0.00013103960449380875)	(45, 8.471505681142712e-05)	(50, 0.00015471375179005348)	(55, 0.00017019792380543517)	(60, 0.00029317552138214434)	(65, 0.00020257391983759688)	(70, 0.0002734683933625676)	(75, 0.00025107392970395774)	(80, 7.818867025948938e-05)	(85, 0.00019591956492189569)	(90, 0.0005082903408685628)	(95, 0.00014562799796284602)	(100, 0.0002162665347602898)	(105, 0.0004193523280529406)	(110, 0.00022995914968298268)	(115, 0.0001406372317760701)	(120, 0.0005164803161494258)	(125, 0.0005585819078276124)	(130, 0.000420759980054339)	(135, 0.0003534486207147458)	(140, 0.0007245568756288525)	(145, 9.981532373551837e-06)	(150, 8.957785463443957e-06)
