WetLab>>CNAG/Novogene barcode	SAMPLE_ID	PROJECT	METHOD	TISSUE	DryLab>>SEQUENCING_PANEL	WetLab>>NUM_CAPTURES	WetLab>>Multiplexing_binary	WetLab>>TapeStation (after fragmentation) --> Size (bp)	WetLab>>Ligation nonadapter size (bp)	WetLab>>Library_size (bp)	WetLab>>Input (ng)	WetLab>>Real diversity --> fmol to PCR1	WetLab>>Recovery_Input2Lig_raw	WetLab>>Recovery_Input2Lig_genomic	WetLab>>Recovery_Input2Lig_qpcr	WetLab>>qPCR unique molecules	WetLab>>qpcr_unique_molecules_6	WetLab>>Theoretical_max_depth-lig	WetLab>>Theoretical_max_depth-lib	SeqInfo>>GBs_obtained	FamMetrics>>total_GBs_for_optimal	SeqInfo>>GBs_missing	BamQC>>duplex.median_insert_size	BamQC>>duplex.mean_coverage	REAL_MEAN_DEPTH_ONTARGET	Combined>>unique_molecules_obs/exp6	Combined>>recovery.input_ng2duplex_depth	Combined>>recovery.lig_ng2duplex_depth	Combined>>recovery.qpcr_ng2duplex_depth	FamMetrics>>on_target.unique_molecules_perc	FamMetrics>>on_target.unique_molecules	FamMetrics>>on_target.duplicates	FamMetrics>>all.duplicates	FamMetrics>>on_target.duplex.peak_size	FamMetrics>>on_target.duplex.sscs_x_dscs	FamMetrics>>amplification_bias.on/off	Novogene>>Project_ID	Novogene>>GBs_requested	Novogene>>GBs_obtained	SeqInfo>>GBs_not_analysed	Combined>>GBs_requested/optimal
IDT007_03	CHp_51_T0_H_IDT007_03	IDT007	IDT	CHIP	pancancer_panel	1	No	364	393	796	250	69.50	0.500800000	0.362457459	0.065770908	41839000000	32056919.58	3932.866	3932.866	486.9525813	382.0844155	104.8681658	405	2242.4495		1.994339906	0.026909394	0.0742415237	0.409138247	0.8263077061	63932394	88.89	88.13	11	7.158	1.96934597	NOVOGENE_47	348	487	0.0474187	0.9107934946
IDT007_04	CHp_59_T0_H_IDT007_04	IDT007	IDT	CHIP	pancancer_panel	1	No	415	369	911	250	30.00	0.380000000	0.270173410	0.026656560	18060000000	13837519.24	1697.64	1697.64	280.7327685	287.2024862	-6.469717685	418	2117.8699		3.492104267	0.0254144388	0.09406713548	0.9534027947	0.802114584	48322060	84.53	83.08	8	5.848	2.45112948	NOVOGENE_47	202	280.78	0.0472315	0.7033365299
IDT012_01	CHa_10_T0_H_IDT012_01	IDT012	IDT	CHIP	pancancer_panel	1	Yes	155	334	1088	250	88.10	0.326400000	0.225242975	0.070856363	53036200000	40636181.51	4985.4028	4985.4028	588.9184113	302.3221698	286.5962415	275	2527.1559		1.232326319	0.0303258708	0.1346362557	0.4279907891	0.7743663146	50077036	92.28	91.41	17	4.948	2.46953458	NOVOGENE_59	250.5	588.92	0.0015887	0.8285862734
IDT012_02	CHa_10_T0_H_IDT012_02	IDT012	IDT	CHIP	pancancer_panel	1	No	165	328	506	250	98.90	0.366400000	0.251420921	0.078113594	59537800000	45617688.44	5596.5532	5596.5532	868.3155606	345.6810779	522.6344827	266	2932.0892		1.235588298	0.0351850704	0.1399448794	0.4504346654	0.7251484816	56364682	93.98	93.03	22	4.738	2.79253068	NOVOGENE_59	650	868.31	-0.0055606	1.880345907
IDT012_03	CHa_31_T0_H_IDT012_03	IDT012	IDT	CHIP	pancancer_panel	1	No	155	326	610	250	43.90	0.231200000	0.158342857	0.034461851	26427800000	20248903.16	2484.2132	2484.2132	325.181247	237.4094452	87.77180177	265	1945.7533		1.92731743	0.0233490396	0.1474587488	0.6775329469	0.7299373515	39026064	88.89	87.14	12	5.015	2.92365153	NOVOGENE_59	278	325.18	-0.001247	1.170972788
IDT012_04	CHa_31_T0_H_IDT012_04	IDT012	IDT	CHIP	pancancer_panel	1	Yes	163	301	1088	250	62.70	0.257600000	0.171923725	0.045445462	37745400000	28920415.22	3548.0676	3548.0676	652.2037824	260.5164934	391.687289	261	2322.4484		1.489534354	0.0278693808	0.1621031698	0.6132489322	0.7263270287	43077952	93.94	92.92	24	4.595	3.14205324	NOVOGENE_59	250.5	652.2	-0.0037824	0.961551404
IDT014_01	IA012_C_1_H_1	IDT014	IDT	Colon	pancancer_panel	1	Yes	173	345	518	250	28.40	0.188800000	0.131587879	0.023593584	17096800000	13099518.22	1607.0992	1607.0992	174.9228744	163.297474	11.62540043	282	1177.5632	2192.49	2.062217369	0.0141307584	0.1073864746	0.5989237752	0.7576342988	27014054	85.86	84.05	9	5.472	2.67859749	NOVOGENE_61	184	174.93	0.0071256	1.126777993
IDT014_02	IA012_C_2_H_1	IDT014	IDT	Colon	pancancer_panel	1	Yes	197	342	518	250	21.80	0.230400000	0.160156098	0.017953085	13123600000	10055263.98	1233.6184	1233.6184	211.9068009	215.2618694	-3.355068466	286	1389.6449	2602.06	3.551564639	0.0166757388	0.1041217853	0.9288508903	0.7797991052	35711920	84.99	83.36	8	6.021	2.42915989	NOVOGENE_61	184	211.91	0.0031991	0.8547728427
IDT014_03	IA013_C_1_H_1	IDT014	IDT	Colon	pancancer_panel	1	Yes	175	289	437	250	23.70	0.251200000	0.165368565	0.016493114	14267400000	10931640.2	1341.1356	1222.2406	249.2172603	245.6203344	3.596925891	233	1652.3495	3295.13	3.728095258	0.019828194	0.1199030421	1.202210421	0.7919615877	40754196	85.29	83.93	9	5.499	2.26284133	NOVOGENE_61	232	249.22	0.0027397	0.9445472035
IDT014_04	IA013_C_2_H_1	IDT014	IDT	Colon	pancancer_panel	1	Yes	169	345	437	250	14.00	0.200800000	0.139951515	0.011630640	8428000000	6457508.981	792.232	721.9986667	294.5993694	224.3558087	70.2435607	258	1731.1015	3241.37	5.778681549	0.020773218	0.1484315334	1.786076948	0.7574116595	37315888	88.48	86.93	12	5.042	2.82448334	NOVOGENE_61	232	294.61	0.0106306	1.034071733
