GENE	SAMPLE	Observed_synonymous	Estimated_synonymous
CDKN1A	BladderlocationDome_SexF	3.0	5.645211514168885
CDKN1A	BladderlocationDome_SexM	15.0	12.834632804593657
CDKN1A	BladderlocationTrigone	23.0	22.68025401796181
CDKN1A	BladderlocationTrigone_SexF	7.0	8.36416795066018
CDKN1A	BladderlocationTrigone_SexM	16.0	14.34404943910965
CDKN1A	HistoryofsmokingNo	9.0	7.692292330000028
CDKN1A	HistoryofsmokingUnknown	2.0	2.7676165769271925
CDKN1A	HistoryofsmokingYes	30.0	30.34679989670082
CDKN1A	P19_0001_BDO_01	0.0	0.0869279109391538
CDKN1A	P19_0001_BTR_01	0.0	0.1264772380706094
CDKN1A	P19_0002_BDO_01	1.0	1.2495985667032987
CDKN1A	P19_0002_BTR_01	1.0	1.088756154916694
CDKN1A	P19_0003_BDO_01	0.0	0.3890163815401868
CDKN1A	P19_0004_BDO_01	1.0	0.6597786929663771
CDKN1A	P19_0004_BTR_01	1.0	0.9075996919844886
CDKN1A	P19_0005_BDO_01	0.0	0.484193912600419
CDKN1A	P19_0005_BTR_01	0.0	0.4061631764353267
CDKN1A	P19_0006_BDO_01	0.0	0.1522701926001856
CDKN1A	P19_0007_BDO_01	0.0	0.1304752725481794
CDKN1A	P19_0007_BTR_01	0.0	0.1612825325367345
CDKN1A	P19_0008_BDO_01	0.0	0.8403192883924092
CDKN1A	P19_0008_BTR_01	3.0	2.7597392511966734
CDKN1A	P19_0009_BDO_01	0.0	0.3090086133517729
CDKN1A	P19_0009_BTR_01	1.0	2.432414912638817
CDKN1A	P19_0011_BDO_01	0.0	0.3076544815005762
CDKN1A	P19_0011_BTR_01	0.0	0.4553929868183293
CDKN1A	P19_0012_BDO_01	1.0	0.6841099297910742
CDKN1A	P19_0012_BTR_01	2.0	1.7263260902560382
CDKN1A	P19_0013_BDO_01	0.0	0.3873834159716277
CDKN1A	P19_0013_BTR_01	0.0	0.1651354774968416
CDKN1A	P19_0014_BDO_01	2.0	0.6080742577003724
CDKN1A	P19_0014_BTR_01	1.0	0.5155620913447113
CDKN1A	P19_0015_BDO_01	0.0	0.485541897469225
CDKN1A	P19_0015_BTR_01	2.0	0.6274394813851024
CDKN1A	P19_0016_BDO_01	0.0	0.4182183923989394
CDKN1A	P19_0016_BTR_01	2.0	0.5258571352232096
CDKN1A	P19_0018_BDO_01	0.0	0.4424847482462954
CDKN1A	P19_0018_BTR_01	0.0	0.3533865633898199
